_action_text,_bill,_date,_id,_time,_type
"Referred to the Committee on Education and Labor, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",hr1000-116,2019-02-06,1,,IntroReferral
Referred to the House Committee on Veterans' Affairs.,hr1001-116,2019-02-06,1,,IntroReferral
Referred to the Subcommittee on Health.,hr1001-116,2019-03-01,2,,Committee
Referred to the House Committee on Agriculture.,hr1002-116,2019-02-06,1,,IntroReferral
Referred to the Subcommittee on Livestock and Foreign Agriculture.,hr1002-116,2019-03-01,2,,Committee
"Referred to the Committee on Financial Services, and in addition to the Committee on House Administration, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",hr1003-116,2019-02-06,1,,IntroReferral
"Referred to the Committee on Armed Services, and in addition to the Committee on Foreign Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",hr1004-116,2019-02-06,1,,IntroReferral
Committee Hearings Held.,hr1004-116,2019-03-13,2,,Committee
Committee Hearings Held.,hr1004-116,2019-03-14,3,,Committee
Ordered to be Reported (Amended) by the Yeas and Nays: 25 - 17.,hr1004-116,2019-04-09,4,,Committee
Committee Consideration and Mark-up Session Held.,hr1004-116,2019-04-09,5,,Committee
Referred to the House Committee on Veterans' Affairs.,hr1005-116,2019-02-06,1,,IntroReferral
Referred to the Subcommittee on Disability Assistance and Memorial Affairs.,hr1005-116,2019-03-01,2,,Committee
Referred to the House Committee on Energy and Commerce.,hr1006-116,2019-02-06,1,,IntroReferral
"Referred to the Committee on Ways and Means, and in addition to the Committee on Education and Labor, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",hr1007-116,2019-02-06,1,,IntroReferral
Referred to the Subcommittee on Trade.,hr1008-116,2019-02-06,1,,Committee
"Referred to the Committee on Ways and Means, and in addition to the Committee on Rules, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",hr1008-116,2019-02-06,2,,IntroReferral
Referred to the House Committee on Energy and Commerce.,hr1009-116,2019-02-06,1,,IntroReferral
Referred to the Subcommittee on Health.,hr1010-116,2019-02-06,1,,Committee
"Referred to the Committee on Energy and Commerce, and in addition to the Committees on Education and Labor, and Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",hr1010-116,2019-02-06,2,,IntroReferral
Referred to the Subcommittee on Health.,hr1010-116,2019-02-07,3,,Committee
Subcommittee Consideration and Mark-up Session Held.,hr1010-116,2019-03-27,4,,Committee
Forwarded by Subcommittee to Full Committee by the Yeas and Nays: 19 - 13 .,hr1010-116,2019-03-27,5,,Committee
Committee Consideration and Mark-up Session Held.,hr1010-116,2019-04-03,6,,Committee
Ordered to be Reported by the Yeas and Nays: 30 - 22.,hr1010-116,2019-04-03,7,,Committee
"Reported by the Committee on Education and Labor. H. Rept. 116-43, Part I.",hr1010-116,2019-04-29,8,,Committee
"Reported by the Committee on Energy and Commerce. H. Rept. 116-43, Part II.",hr1010-116,2019-05-10,9,,Committee
Committee on Ways and Means discharged.,hr1010-116,2019-05-10,10,,Discharge
"Placed on the Union Calendar, Calendar No. 29.",hr1010-116,2019-05-10,11,,Calendars
Referred to the House Committee on the Judiciary.,hr1011-116,2019-02-06,1,,IntroReferral
Referred to the Subcommittee on Immigration and Citizenship.,hr1011-116,2019-03-25,2,,Committee
Referred to the House Committee on the Judiciary.,hr1012-116,2019-02-06,1,,IntroReferral
Referred to the Subcommittee on Immigration and Citizenship.,hr1012-116,2019-03-22,2,,Committee
"Referred to the Committee on Homeland Security, and in addition to the Committees on the Judiciary, and Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",hr1013-116,2019-02-06,1,,IntroReferral
"Referred to the Subcommittee on Border Security, Facilitation, and Operations.",hr1013-116,2019-02-25,2,,Committee
Referred to the Subcommittee on Immigration and Citizenship.,hr1013-116,2019-03-22,3,,Committee
Referred to the House Committee on Natural Resources.,hr1014-116,2019-02-06,1,,IntroReferral
Referred to the Subcommittee on Energy and Mineral Resources.,hr1014-116,2019-02-25,2,,Committee
"Referred to the Subcommittee on Water, Oceans, and Wildlife.",hr1014-116,2019-02-25,3,,Committee
Subcommittee on Energy and Mineral Resources Discharged.,hr1014-116,2019-05-01,4,,Committee
"Subcommittee on Water, Oceans, and Wildlife Discharged.",hr1014-116,2019-05-01,5,,Committee
Committee Consideration and Mark-up Session Held.,hr1014-116,2019-05-01,6,,Committee
Ordered to be Reported by Unanimous Consent.,hr1014-116,2019-05-01,7,,Committee
Referred to the House Committee on Natural Resources.,hr1015-116,2019-02-06,1,,IntroReferral
"Referred to the Subcommittee on National Parks, Forests, and Public Lands.",hr1015-116,2019-02-26,2,,Committee
Referred to the House Committee on Oversight and Reform.,hr1016-116,2019-02-06,1,,IntroReferral
Referred to the House Committee on Armed Services.,hr1017-116,2019-02-06,1,,IntroReferral
Referred to the Subcommittee on Readiness.,hr1017-116,2019-02-07,2,,Committee
Referred to the House Committee on Financial Services.,hr1018-116,2019-02-06,1,,IntroReferral
Committee Consideration and Mark-up Session Held.,hr1018-116,2019-07-11,2,,Committee
Ordered to be Reported (Amended) by the Yeas and Nays: 53 - 5.,hr1018-116,2019-07-11,3,,Committee
Referred to the House Committee on Armed Services.,hr1019-116,2019-02-06,1,,IntroReferral
Referred to the Subcommittee on Military Personnel.,hr1019-116,2019-02-07,2,,Committee
Referred to the House Committee on House Administration.,hr1020-116,2019-02-06,1,,IntroReferral
Referred to the House Committee on the Judiciary.,hr1021-116,2019-02-06,1,,IntroReferral
"Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.",hr1021-116,2019-03-22,2,,Committee
"Referred to the Committee on House Administration, and in addition to the Committee on Oversight and Reform, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",hr1022-116,2019-02-06,1,,IntroReferral
Referred to the House Committee on Natural Resources.,hr1023-116,2019-02-06,1,,IntroReferral
"Referred to the Subcommittee on Water, Oceans, and Wildlife.",hr1023-116,2019-02-26,2,,Committee
Subcommittee Hearings Held.,hr1023-116,2019-05-08,3,,Committee
"Subcommittee on Water, Oceans, and Wildlife Discharged.",hr1023-116,2019-09-18,4,,Committee
Committee Consideration and Mark-up Session Held.,hr1023-116,2019-09-18,5,,Committee
Ordered to be Reported by the Yeas and Nays: 20 - 15.,hr1023-116,2019-09-18,6,,Committee
Referred to the House Committee on Energy and Commerce.,hr1024-116,2019-02-06,1,,IntroReferral
"Referred to the Committee on Foreign Affairs, and in addition to the Committees on Oversight and Reform, and the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",hr1025-116,2019-02-06,1,,IntroReferral
Referred to the Subcommittee on Immigration and Citizenship.,hr1025-116,2019-03-22,2,,Committee
"Referred to the Committee on Natural Resources, and in addition to the Committee on the Budget, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",hr1026-116,2019-02-06,1,,IntroReferral
"Referred to the Subcommittee on National Parks, Forests, and Public Lands.",hr1026-116,2019-02-25,2,,Committee
Referred to the House Committee on Ways and Means.,hr1027-116,2019-02-06,1,,IntroReferral
"Referred to the Committee on Oversight and Reform, and in addition to the Committees on House Administration, and Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",hr1028-116,2019-02-06,1,,IntroReferral
"Referred to the House Committee on Science, Space, and Technology.",hr1029-116,2019-02-06,1,,IntroReferral
Referred to the Subcommittee on Space and Aeronautics.,hr1029-116,2019-02-12,2,,Committee
Referred to the House Committee on Veterans' Affairs.,hr1030-116,2019-02-06,1,,IntroReferral
Referred to the Subcommittee on Disability Assistance and Memorial Affairs.,hr1030-116,2019-03-01,2,,Committee
Referred to the House Committee on Natural Resources.,hr1031-116,2019-02-06,1,,IntroReferral
Referred to the Subcommittee for Indigenous Peoples of the United States.,hr1031-116,2019-02-25,2,,Committee
Referred to the Subcommittee on Indigenous Peoples of the United States.,hr1031-116,2019-02-25,3,,Committee
Subcommittee Hearings Held.,hr1031-116,2019-06-05,4,,Committee
Referred to the House Committee on Armed Services.,hr1032-116,2019-02-07,1,,IntroReferral
Referred to the Subcommittee on Military Personnel.,hr1032-116,2019-02-08,2,,Committee
Referred to the House Committee on Foreign Affairs.,hr1033-116,2019-02-07,1,,IntroReferral
Referred to the Subcommittee on Health.,hr1034-116,2019-02-07,1,,Committee
"Referred to the Committee on Energy and Commerce, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",hr1034-116,2019-02-07,2,,IntroReferral
"Referred to the Committee on Energy and Commerce, and in addition to the Committees on Ways and Means, and Oversight and Reform, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",hr1035-116,2019-02-07,1,,IntroReferral
Referred to the Subcommittee on Health.,hr1035-116,2019-02-07,2,,Committee
Referred to the House Committee on Financial Services.,hr1036-116,2019-02-07,1,,IntroReferral
Referred to the House Committee on Financial Services.,hr1037-116,2019-02-07,1,,IntroReferral
Ms. Waters moved to suspend the rules and pass the bill.,hr1037-116,2019-05-14,2,,Floor
Considered under suspension of the rules. (consideration: CR H3769-3770),hr1037-116,2019-05-14,3,,Floor
DEBATE - The House proceeded with forty minutes of debate on H.R. 1037.,hr1037-116,2019-05-14,4,,Floor
On motion to suspend the rules and pass the bill Agreed to by voice vote. (text: CR H3769),hr1037-116,2019-05-14,5,,Floor
Motion to reconsider laid on the table Agreed to without objection.,hr1037-116,2019-05-14,6,,Floor
"Received in the Senate and Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",hr1037-116,2019-05-15,7,,IntroReferral
Referred to the House Committee on Financial Services.,hr1038-116,2019-02-07,1,,IntroReferral
Referred to the House Committee on Financial Services.,hr1039-116,2019-02-07,1,,IntroReferral
"Referred to the Committee on Ways and Means, and in addition to the Committee on Rules, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",hr1040-116,2019-02-07,1,,IntroReferral
Referred to the House Committee on Ways and Means.,hr1041-116,2019-02-07,1,,IntroReferral
Referred to the Subcommittee on Health.,hr1041-116,2019-02-07,2,,Committee
Referred to the House Committee on Agriculture.,hr1042-116,2019-02-07,1,,IntroReferral
Referred to the Subcommittee on Livestock and Foreign Agriculture.,hr1042-116,2019-03-01,2,,Committee
Referred to the House Committee on Ways and Means.,hr1043-116,2019-02-07,1,,IntroReferral
Referred to the House Committee on the Judiciary.,hr1044-116,2019-02-07,1,,IntroReferral
Referred to the Subcommittee on Immigration and Citizenship.,hr1044-116,2019-03-22,2,,Committee
Motion to place bill on Consensus Calendar filed by Ms. Lofgren.,hr1044-116,2019-06-18,3,,Calendars
"Ms. Lofgren moved to suspend the rules and pass the bill, as amended.",hr1044-116,2019-07-10,4,,Floor
Considered under suspension of the rules. (consideration: CR H5323-5328),hr1044-116,2019-07-10,5,,Floor
DEBATE - The House proceeded with forty minutes of debate on H.R. 1044.,hr1044-116,2019-07-10,6,,Floor
"At the conclusion of debate, the Yeas and Nays were demanded and ordered. Pursuant to the provisions of clause 8, rule XX, the Chair announced that further proceedings on the motion would be postponed.",hr1044-116,2019-07-10,7,,Floor
Considered as unfinished business. (consideration: CR H5336),hr1044-116,2019-07-10,8,,Floor
"On motion to suspend the rules and pass the bill, as amended Agreed to by the Yeas and Nays: (2/3 required): 365 - 65 (Roll no. 437). (text: CR H5323-5324)",hr1044-116,2019-07-10,9,,Floor
Motion to reconsider laid on the table Agreed to without objection.,hr1044-116,2019-07-10,10,,Floor
Received in the Senate and Read twice and referred to the Committee on the Judiciary.,hr1044-116,2019-07-11,11,,IntroReferral
Referred to the House Committee on the Judiciary.,hr1045-116,2019-02-07,1,,IntroReferral
Referred to the Subcommittee on Immigration and Citizenship.,hr1045-116,2019-03-25,2,,Committee
Referred to the Subcommittee on Health.,hr1046-116,2019-02-07,1,,Committee
"Referred to the Committee on Energy and Commerce, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",hr1046-116,2019-02-07,2,,IntroReferral
Referred to the House Committee on Natural Resources.,hr1047-116,2019-02-07,1,,IntroReferral
"Referred to the Subcommittee on Water, Oceans, and Wildlife.",hr1047-116,2019-02-26,2,,Committee
Referred to the House Committee on Natural Resources.,hr1048-116,2019-02-07,1,,IntroReferral
"Referred to the Subcommittee on Water, Oceans, and Wildlife.",hr1048-116,2019-02-25,2,,Committee
Referred to the House Committee on Natural Resources.,hr1049-116,2019-02-07,1,,IntroReferral
"Referred to the Subcommittee on National Parks, Forests, and Public Lands.",hr1049-116,2019-02-26,2,,Committee
Subcommittee Hearings Held.,hr1049-116,2019-04-29,3,,Committee
Subcommittee Hearings Held.,hr1049-116,2019-04-30,4,,Committee
Referred to the House Committee on Natural Resources.,hr1050-116,2019-02-07,1,,IntroReferral
"Referred to the Subcommittee on National Parks, Forests, and Public Lands.",hr1050-116,2019-02-25,2,,Committee
Referred to the House Committee on Oversight and Reform.,hr1051-116,2019-02-07,1,,IntroReferral
"Referred to the Committee on Energy and Commerce, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",hr1052-116,2019-02-07,1,,IntroReferral
Referred to the Subcommittee on Health.,hr1052-116,2019-02-07,2,,Committee
Referred to the House Committee on Financial Services.,hr1053-116,2019-02-07,1,,IntroReferral
"Referred to the Committee on Oversight and Reform, and in addition to the Committee on Education and Labor, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",hr1054-116,2019-02-07,1,,IntroReferral
Referred to the House Committee on Foreign Affairs.,hr1055-116,2019-02-07,1,,IntroReferral
Referred to the House Committee on Natural Resources.,hr1056-116,2019-02-07,1,,IntroReferral
"Referred to the Subcommittee on National Parks, Forests, and Public Lands.",hr1056-116,2019-02-26,2,,Committee
"Referred to the Subcommittee on Water, Oceans, and Wildlife.",hr1056-116,2019-02-26,3,,Committee
Referred to the House Committee on the Judiciary.,hr1057-116,2019-02-07,1,,IntroReferral
"Referred to the Subcommittee on Courts, Intellectual Property, and the Internet.",hr1057-116,2019-03-22,2,,Committee
Referred to the House Committee on Energy and Commerce.,hr1058-116,2019-02-07,1,,IntroReferral
Referred to the Subcommittee on Health.,hr1058-116,2019-02-08,2,,Committee
Subcommittee Hearings Held.,hr1058-116,2019-06-25,3,,Committee
Subcommittee Consideration and Mark-up Session Held.,hr1058-116,2019-07-11,4,,Committee
Forwarded by Subcommittee to Full Committee (Amended) by Voice Vote .,hr1058-116,2019-07-11,5,,Committee
Committee Consideration and Mark-up Session Held.,hr1058-116,2019-07-17,6,,Committee
Ordered to be Reported (Amended) by Voice Vote.,hr1058-116,2019-07-17,7,,Committee
Reported (Amended) by the Committee on Energy and Commerce. H. Rept. 116-177.,hr1058-116,2019-07-23,8,,Committee
"Placed on the Union Calendar, Calendar No. 137.",hr1058-116,2019-07-23,9,,Calendars
Considered under suspension of the rules. (consideration: CR H7303-7308),hr1058-116,2019-07-24,10,,Floor
"On motion to suspend the rules and pass the bill, as amended Agreed to by voice vote. (text: CR H7303-7304)",hr1058-116,2019-07-24,11,,Floor
"Mr. Pallone moved to suspend the rules and pass the bill, as amended.",hr1058-116,2019-07-24,12,,Floor
Considered under suspension of the rules.,hr1058-116,2019-07-24,13,,Floor
DEBATE - The House proceeded with forty minutes of debate on H.R. 1058.,hr1058-116,2019-07-24,14,,Floor
"On motion to suspend the rules and pass the bill, as amended Agreed to by voice vote.",hr1058-116,2019-07-24,15,,Floor
Motion to reconsider laid on the table Agreed to without objection.,hr1058-116,2019-07-24,16,,Floor
The title of the measure was amended. Agreed to without objection.,hr1058-116,2019-07-24,17,,Floor
Received in the Senate.,hr1058-116,2019-07-25,18,,IntroReferral
"Received in the Senate, read twice.",hr1058-116,2019-07-25,19,,IntroReferral
Passed Senate without amendment by Voice Vote. (consideration: CR S5609),hr1058-116,2019-09-19,20,,Floor
Passed Senate without amendment by Voice Vote.,hr1058-116,2019-09-19,21,,Floor
Message on Senate action sent to the House.,hr1058-116,2019-09-19,22,,Floor
Presented to President.,hr1058-116,2019-09-25,23,,Floor
Became Public Law No: 116-60.,hr1058-116,2019-09-30,24,,President
Signed by President.,hr1058-116,2019-09-30,25,,President
"Referred to the Committee on Rules, and in addition to the Committee on the Budget, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",hr1059-116,2019-02-07,1,,IntroReferral
Referred to the House Committee on Financial Services.,hr1060-116,2019-02-07,1,,IntroReferral
"Ms. Waters moved to suspend the rules and pass the bill, as amended.",hr1060-116,2019-05-14,2,,Floor
Considered under suspension of the rules. (consideration: CR H3767-3769),hr1060-116,2019-05-14,3,,Floor
DEBATE - The House proceeded with forty minutes of debate on H.R. 1060.,hr1060-116,2019-05-14,4,,Floor
"On motion to suspend the rules and pass the bill, as amended Agreed to by voice vote. (text: CR H3767)",hr1060-116,2019-05-14,5,,Floor
Motion to reconsider laid on the table Agreed to without objection.,hr1060-116,2019-05-14,6,,Floor
"Received in the Senate and Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",hr1060-116,2019-05-15,7,,IntroReferral
Referred to the House Committee on Natural Resources.,hr1061-116,2019-02-07,1,,IntroReferral
"Referred to the Subcommittee on National Parks, Forests, and Public Lands.",hr1061-116,2019-02-26,2,,Committee
Referred to the House Committee on Homeland Security.,hr1062-116,2019-02-07,1,,IntroReferral
"Referred to the Subcommittee on Cybersecurity, Infrastructure Protection, and Innovation.",hr1062-116,2019-02-28,2,,Committee
Referred to the House Committee on Oversight and Reform.,hr1063-116,2019-02-07,1,,IntroReferral
"Ms. Hill (CA) moved to suspend the rules and pass the bill, as amended.",hr1063-116,2019-02-11,2,,Floor
Considered under suspension of the rules.,hr1063-116,2019-02-11,3,,Floor
DEBATE - The House proceeded with forty minutes of debate on H.R. 1063.,hr1063-116,2019-02-11,4,,Floor
"On motion to suspend the rules and pass the bill, as amended Agreed to by voice vote.",hr1063-116,2019-02-11,5,,Floor
Motion to reconsider laid on the table Agreed to without objection.,hr1063-116,2019-02-11,6,,Floor
Considered under suspension of the rules. (consideration: CR H1496-1497),hr1063-116,2019-02-11,7,,Floor
"On motion to suspend the rules and pass the bill, as amended Agreed to by voice vote. (text: CR H1496-1497)",hr1063-116,2019-02-11,8,,Floor
Received in the Senate and Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,hr1063-116,2019-02-12,9,,IntroReferral
Referred to the House Committee on Oversight and Reform.,hr1064-116,2019-02-07,1,,IntroReferral
"Ms. Hill (CA) moved to suspend the rules and pass the bill, as amended.",hr1064-116,2019-02-11,2,,Floor
Considered under suspension of the rules.,hr1064-116,2019-02-11,3,,Floor
DEBATE - The House proceeded with forty minutes of debate on H.R. 1064.,hr1064-116,2019-02-11,4,,Floor
"On motion to suspend the rules and pass the bill, as amended Agreed to by voice vote.",hr1064-116,2019-02-11,5,,Floor
Motion to reconsider laid on the table Agreed to without objection.,hr1064-116,2019-02-11,6,,Floor
Considered under suspension of the rules. (consideration: CR H1499-1500),hr1064-116,2019-02-11,7,,Floor
"On motion to suspend the rules and pass the bill, as amended Agreed to by voice vote. (text: CR H1499)",hr1064-116,2019-02-11,8,,Floor
Received in the Senate and Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,hr1064-116,2019-02-12,9,,IntroReferral
Referred to the House Committee on Oversight and Reform.,hr1065-116,2019-02-07,1,,IntroReferral
Ms. Hill (CA) moved to suspend the rules and pass the bill.,hr1065-116,2019-02-11,2,,Floor
Considered under suspension of the rules.,hr1065-116,2019-02-11,3,,Floor
DEBATE - The House proceeded with forty minutes of debate on H.R. 1065.,hr1065-116,2019-02-11,4,,Floor
"At the conclusion of debate, the Yeas and Nays were demanded and ordered. Pursuant to the provisions of clause 8, rule XX, the Chair announced that further proceedings on the motion would be postponed.",hr1065-116,2019-02-11,5,,Floor
Considered as unfinished business.,hr1065-116,2019-02-11,6,,Floor
On motion to suspend the rules and pass the bill Agreed to by the Yeas and Nays: (2/3 required): 377 - 3 (Roll no. 76).,hr1065-116,2019-02-11,7,,Floor
Motion to reconsider laid on the table Agreed to without objection.,hr1065-116,2019-02-11,8,,Floor
Considered under suspension of the rules. (consideration: CR H1498-1499),hr1065-116,2019-02-11,9,,Floor
Considered as unfinished business. (consideration: CR H1504-1505),hr1065-116,2019-02-11,10,,Floor
On motion to suspend the rules and pass the bill Agreed to by the Yeas and Nays: (2/3 required): 377 - 3 (Roll no. 76). (text: CR H1496),hr1065-116,2019-02-11,11,,Floor
Received in the Senate and Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,hr1065-116,2019-02-12,12,,IntroReferral
Referred to the House Committee on Education and Labor.,hr1066-116,2019-02-07,1,,IntroReferral
Referred to the House Committee on Natural Resources.,hr1067-116,2019-02-07,1,,IntroReferral
"Referred to the Subcommittee on National Parks, Forests, and Public Lands.",hr1067-116,2019-02-26,2,,Committee
Referred to the House Committee on Ways and Means.,hr1068-116,2019-02-07,1,,IntroReferral
Referred to the House Committee on the Judiciary.,hr1069-116,2019-02-07,1,,IntroReferral
Referred to the Subcommittee on Immigration and Citizenship.,hr1069-116,2019-03-25,2,,Committee
Referred to the House Committee on Ways and Means.,hr1070-116,2019-02-07,1,,IntroReferral
Referred to the House Committee on Ways and Means.,hr1071-116,2019-02-07,1,,IntroReferral
Referred to the House Committee on the Judiciary.,hr1072-116,2019-02-07,1,,IntroReferral
