_action_text,_bill,_date,_id,_time,_type
"Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.",hr1072-116,2019-03-25,2,,Committee
Referred to the House Committee on Oversight and Reform.,hr1073-116,2019-02-07,1,,IntroReferral
Referred to the House Committee on Education and Labor.,hr1074-116,2019-02-07,1,,IntroReferral
Referred to the House Committee on Education and Labor.,hr1075-116,2019-02-07,1,,IntroReferral
"Referred to the Committee on Oversight and Reform, and in addition to the Committees on House Administration, the Judiciary, Armed Services, and Education and Labor, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",hr1076-116,2019-02-07,1,,IntroReferral
"Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.",hr1076-116,2019-03-25,2,,Committee
Committee Consideration and Mark-up Session Held.,hr1076-116,2019-03-26,3,,Committee
Ordered to be Reported (Amended) by Voice Vote.,hr1076-116,2019-03-26,4,,Committee
Referred to the House Committee on the Budget.,hr1077-116,2019-02-07,1,,IntroReferral
"Referred to the Committee on the Judiciary, and in addition to the Committees on Armed Services, and Veterans' Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",hr1078-116,2019-02-07,1,,IntroReferral
Referred to the Subcommittee on Military Personnel.,hr1078-116,2019-02-08,2,,Committee
Referred to the Subcommittee on Disability Assistance and Memorial Affairs.,hr1078-116,2019-03-01,3,,Committee
Referred to the Subcommittee on Immigration and Citizenship.,hr1078-116,2019-03-22,4,,Committee
Referred to the House Committee on Oversight and Reform.,hr1079-116,2019-02-07,1,,IntroReferral
"Ms. Hill (CA) moved to suspend the rules and pass the bill, as amended.",hr1079-116,2019-02-11,2,,Floor
Considered under suspension of the rules.,hr1079-116,2019-02-11,3,,Floor
DEBATE - The House proceeded with forty minutes of debate on H.R. 1079.,hr1079-116,2019-02-11,4,,Floor
"At the conclusion of debate, the Yeas and Nays were demanded and ordered. Pursuant to the provisions of clause 8, rule XX, the Chair announced that further proceedings on the motion would be postponed.",hr1079-116,2019-02-11,5,,Floor
Considered as unfinished business.,hr1079-116,2019-02-11,6,,Floor
"On motion to suspend the rules and pass the bill, as amended Agreed to by the Yeas and Nays: (2/3 required): 379 - 0 (Roll no. 77).",hr1079-116,2019-02-11,7,,Floor
Motion to reconsider laid on the table Agreed to without objection.,hr1079-116,2019-02-11,8,,Floor
Considered under suspension of the rules. (consideration: CR H1502-1504),hr1079-116,2019-02-11,9,,Floor
Considered as unfinished business. (consideration: CR H1504),hr1079-116,2019-02-11,10,,Floor
"On motion to suspend the rules and pass the bill, as amended Agreed to by the Yeas and Nays: (2/3 required): 379 - 0 (Roll no. 77). (text: CR H1502)",hr1079-116,2019-02-11,11,,Floor
Received in the Senate and Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,hr1079-116,2019-02-12,12,,IntroReferral
Committee on Homeland Security and Governmental Affairs. Ordered to be reported without amendment favorably.,hr1079-116,2019-05-15,13,,Committee
Committee on Homeland Security and Governmental Affairs. Reported by Senator Johnson without amendment. With written report No. 116-50.,hr1079-116,2019-06-25,14,,Committee
Placed on Senate Legislative Calendar under General Orders. Calendar No. 127.,hr1079-116,2019-06-25,15,,Calendars
Passed Senate without amendment by Unanimous Consent. (consideration: CR S5275),hr1079-116,2019-07-31,16,,Floor
Message on Senate action sent to the House.,hr1079-116,2019-08-01,17,,Floor
Presented to President.,hr1079-116,2019-08-13,18,,Floor
Signed by President.,hr1079-116,2019-08-22,19,,President
Became Public Law No: 116-50.,hr1079-116,2019-08-22,20,,President
Referred to the House Committee on Education and Labor.,hr1080-116,2019-02-07,1,,IntroReferral
"Referred to the Committee on Foreign Affairs, and in addition to the Committee on Intelligence (Permanent Select), for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",hr1081-116,2019-02-07,1,,IntroReferral
"Referred to the Committee on Energy and Commerce, and in addition to the Committees on Ways and Means, and Education and Labor, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",hr1082-116,2019-02-07,1,,IntroReferral
Referred to the Subcommittee on Health.,hr1082-116,2019-02-07,2,,Committee
Referred to the House Committee on Financial Services.,hr1083-116,2019-02-07,1,,IntroReferral
"Referred to the Committee on Ways and Means, and in addition to the Committees on Education and Labor, and the Budget, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",hr1084-116,2019-02-07,1,,IntroReferral
Referred to the House Committee on House Administration.,hr1085-116,2019-02-07,1,,IntroReferral
Referred to the House Committee on Armed Services.,hr1086-116,2019-02-07,1,,IntroReferral
Referred to the Subcommittee on Strategic Forces.,hr1086-116,2019-02-08,2,,Committee
Referred to the House Committee on the Judiciary.,hr1087-116,2019-02-07,1,,IntroReferral
"Referred to the Subcommittee on Antitrust, Commercial, and Administrative Law.",hr1087-116,2019-03-25,2,,Committee
Referred to the House Committee on Natural Resources.,hr1088-116,2019-02-07,1,,IntroReferral
"Referred to the Subcommittee on National Parks, Forests, and Public Lands.",hr1088-116,2019-02-26,2,,Committee
Subcommittee Hearings Held.,hr1088-116,2019-05-22,3,,Committee
"Subcommittee on National Parks, Forests, and Public Lands Discharged.",hr1088-116,2019-06-19,4,,Committee
Committee Consideration and Mark-up Session Held.,hr1088-116,2019-06-19,5,,Committee
Ordered to be Reported (Amended) by Voice Vote.,hr1088-116,2019-06-19,6,,Committee
Referred to the House Committee on Ways and Means.,hr1089-116,2019-02-07,1,,IntroReferral
"Referred to the Committee on Oversight and Reform, and in addition to the Committee on Armed Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",hr1090-116,2019-02-07,1,,IntroReferral
Referred to the Subcommittee on Military Personnel.,hr1090-116,2019-02-08,2,,Committee
