"bill","date","status","status.prev"
"hr0150-116",2019-01-15,"D. HOUSE DEBATE","A. INTRODUCTION IN HOUSE"
"hr0150-116",2019-01-17,"E. PASSED HOUSE VOTE","D. HOUSE DEBATE"
"hr0150-116",2019-01-18,"F. REFERRED TO SENATE","E. PASSED HOUSE VOTE"
"hr0150-116",2019-06-19,"G. SENATE COMMITTEE CONSIDERATION","F. REFERRED TO SENATE"
"hr0150-116",2019-09-10,"H. ON SENATE CALENDAR","G. SENATE COMMITTEE CONSIDERATION"
"hr0151-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0152-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0153-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0153-116",2019-03-04,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0154-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0155-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0155-116",2019-01-03,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0156-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0156-116",2019-01-25,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0157-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0157-116",2019-01-03,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0158-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0159-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0160-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0160-116",2019-01-03,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0161-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0162-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0163-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0163-116",2019-01-03,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0164-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0165-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0166-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0167-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0167-116",2019-01-03,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0168-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0168-116",2019-01-03,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0169-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0169-116",2019-02-07,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0170-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0171-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0171-116",2019-01-25,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0172-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0172-116",2019-01-25,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0173-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0173-116",2019-01-25,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0174-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0174-116",2019-01-25,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0175-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0175-116",2019-01-03,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0176-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0176-116",2019-02-07,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0177-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0178-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0178-116",2019-02-08,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0179-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0179-116",2019-02-05,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0180-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0180-116",2019-02-07,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0181-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0182-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0182-116",2019-02-05,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0183-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0183-116",2019-02-05,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0184-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0184-116",2019-02-05,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0185-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0185-116",2019-01-25,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0186-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
