"bill","date","status","status.prev"
"hr0044-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0044-116",2019-01-03,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0045-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0045-116",2019-02-07,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0046-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0046-116",2019-01-16,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0047-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0047-116",2019-03-04,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0048-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0048-116",2019-01-03,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0049-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0049-116",2019-01-03,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0050-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0051-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0052-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0052-116",2019-02-04,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0053-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0053-116",2019-01-03,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0054-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0055-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0055-116",2019-01-25,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0056-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0056-116",2019-01-28,"D. HOUSE DEBATE","A. INTRODUCTION IN HOUSE"
"hr0056-116",2019-01-28,"E. PASSED HOUSE VOTE","D. HOUSE DEBATE"
"hr0056-116",2019-01-29,"F. REFERRED TO SENATE","E. PASSED HOUSE VOTE"
"hr0057-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0057-116",2019-02-04,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0058-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0059-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0059-116",2019-01-25,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0060-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0060-116",2019-01-03,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0061-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0062-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0063-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0064-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0064-116",2019-01-25,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0065-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0066-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0066-116",2019-02-06,"D. HOUSE DEBATE","A. INTRODUCTION IN HOUSE"
"hr0066-116",2019-02-06,"E. PASSED HOUSE VOTE","D. HOUSE DEBATE"
"hr0066-116",2019-02-07,"F. REFERRED TO SENATE","E. PASSED HOUSE VOTE"
"hr0067-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0068-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0069-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0070-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0070-116",2019-01-25,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0071-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0071-116",2019-01-25,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0072-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0073-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0074-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0074-116",2019-01-03,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0075-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0075-116",2019-03-04,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0076-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0076-116",2019-01-03,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0077-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0077-116",2019-01-03,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0078-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0078-116",2019-01-03,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0079-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0079-116",2019-02-05,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0080-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0080-116",2019-01-16,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0081-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0082-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0082-116",2019-02-08,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0083-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0083-116",2019-01-25,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0084-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0085-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0085-116",2019-01-03,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0086-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0087-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0087-116",2019-03-04,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0088-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0088-116",2019-01-03,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0089-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0089-116",2019-01-25,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0090-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0090-116",2019-01-25,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0091-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0091-116",2019-02-05,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0091-116",2019-04-29,"D. HOUSE DEBATE","B. HOUSE COMMITTEE CONSIDERATION"
"hr0091-116",2019-04-29,"E. PASSED HOUSE VOTE","D. HOUSE DEBATE"
"hr0091-116",2019-04-30,"F. REFERRED TO SENATE","E. PASSED HOUSE VOTE"
"hr0092-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0093-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0094-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0094-116",2019-01-03,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0095-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0095-116",2019-01-16,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0096-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0096-116",2019-01-16,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0097-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0097-116",2019-03-14,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0097-116",2019-07-15,"D. HOUSE DEBATE","B. HOUSE COMMITTEE CONSIDERATION"
"hr0097-116",2019-07-15,"E. PASSED HOUSE VOTE","D. HOUSE DEBATE"
"hr0097-116",2019-07-16,"F. REFERRED TO SENATE","E. PASSED HOUSE VOTE"
"hr0098-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0098-116",2019-01-03,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0099-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0099-116",2019-01-03,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0100-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0100-116",2019-01-16,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0101-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0101-116",2019-01-31,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0102-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0103-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0104-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0104-116",2019-01-25,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0105-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0105-116",2019-01-25,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0106-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0106-116",2019-01-25,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0107-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0107-116",2019-01-25,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0108-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0108-116",2019-01-25,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0109-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0109-116",2019-01-03,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0110-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0110-116",2019-03-04,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0111-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0112-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
