_id,_introduced,_official_title,_passed_house,_passed_senate,_session,_short_title,_top_subject,_type
s1-116,2019-01-03 00:01:00,"A bill to make improvements to certain defense and security assistance provisions and to authorize the appropriation of funds to Israel, to reauthorize the United States-Jordan Defense Cooperation Act of 2015, and to halt the wholesale slaughter of the Syrian people, and for other purposes.",False,True,116,Strengthening America's Security in the Middle East Act of 2019,International Affairs,s
s2-116,2019-01-03 00:01:00,"A bill to safeguard certain technology and intellectual property in the United States from export to or influence by the People's Republic of China and to protect United States industry from unfair competition by the People's Republic of China, and for other purposes.",False,False,116,Fair Trade with China Enforcement Act,Foreign Trade and International Finance,s
s3-116,2019-01-03 00:01:00,"A bill to bring stability to the individual insurance market, make insurance coverage more affordable, lower prescription drug prices, and improve Medicaid.",False,False,116,Keeping Health Insurance Affordable Act of 2019,Health,s
s4-116,2019-01-03 00:01:00,"A bill to amend the Internal Revenue Code of 1986 to establish a refundable tax credit to increase the take-home pay of American workers and enhance their financial stability, and for other purposes.",False,False,116,LIFT (Livable Incomes for Families Today) the Middle Class Act,Taxation,s
s5-116,2019-01-03 00:01:00,A bill to amend the Internal Revenue Code of 1986 to allow a credit against tax for qualified elementary and secondary education tuition.,False,False,116,Educational Opportunities Act,Taxation,s
s6-116,2019-01-03 00:01:00,"A bill to decrease the cost of hiring, and increase the take-home pay of, Puerto Rican workers.",False,False,116,EMPLEO Act,Labor and Employment,s
s7-116,2019-01-03 00:01:00,"A bill to provide family members of an individual who they fear is a danger to himself, herself, or others, or law enforcement, with new tools to prevent gun violence.",False,False,116,Extreme Risk Protection Order and Violence Prevention Act of 2019,Crime and Law Enforcement,s
s8-116,2019-01-03 00:01:00,"A bill to require the Secretary of Veterans Affairs to ensure that the supported housing program of the Department of Veterans Affairs has not fewer than one program manager for every 35 rental assistance cases under such program, and for other purposes.",False,False,116,Preserving Our Commitment to Homeless Veterans Act,Armed Forces and National Security,s
s9-116,2019-01-03 00:01:00,"A bill to amend the Federal Food, Drug, and Cosmetic Act to clarify the Food and Drug Administration's jurisdiction over certain tobacco products, and to protect jobs and small businesses involved in the sale, manufacturing and distribution of traditional and premium cigars.",False,False,116,Traditional Cigar Manufacturing and Small Business Jobs Preservation Act of 2019,Health,s
s10-116,2019-01-03 00:01:00,"A bill to require the Inter-Agency Task Force on Harmful Algal Blooms and Hypoxia to develop a plan for reducing, mitigating, and controlling harmful algal blooms and hypoxia in South Florida, and for other purposes.",False,False,116,South Florida Clean Coastal Waters Act of 2019,Environmental Protection,s
s11-116,2019-01-03 00:01:00,"A bill to amend the Public Health Service Act to strengthen the National Disaster Medical System, and for other purposes.",False,False,116,Strengthening the National Disaster Medical System Act of 2019,Health,s
