_id,_introduced,_official_title,_passed_house,_passed_senate,_session,_short_title,_top_subject,_type
hr2000-116,2019-01-01 00:04:00,To establish a public health plan.,False,False,116,Medicare-X Choice Act of 2019,Health,hr
hr2001-116,2019-01-01 00:04:00,"To amend the McKinney-Vento Homeless Assistance Act to meet the needs of homeless children, youth, and families, and honor the assessments and priorities of local communities.",False,False,116,Homeless Children and Youth Act of 2019,,hr
hr2002-116,2019-01-01 00:04:00,"To foster security in Taiwan, and for other purposes.",True,False,116,Taiwan Assurance Act of 2019,International Affairs,hr
hr2003-116,2019-01-01 00:04:00,"To amend title 5, United States Code, to clarify that during a lapse in appropriations certain services relating to the Federal Employees Health Benefits Program are excepted services under the Anti-Deficiency Act, and for other purposes.",False,False,116,Ensuring FEHBP Coverage During Shutdowns Act,Government Operations and Politics,hr
hr2004-116,2019-01-01 00:04:00,"To amend title 5, United States Code, to continue supplemental dental and vision benefits and long-term care insurance coverage for Federal employees affected by a Government shutdown, and for other purposes.",False,False,116,Ensuring FEDVIP and FLTCIP Coverage During Shutdowns Act,Health,hr
hr2005-116,2019-01-01 00:04:00,"To amend the Employee Retirement Income Security Act of 1974 to provide for greater spousal protection under defined contribution plans, and for other purposes.",False,False,116,Women's Retirement Protection Act of 2019,Labor and Employment,hr
hr2006-116,2019-01-01 00:04:00,"To amend the Higher Education Act of 1965 to provide capacity-building assistance to institutions of higher education to examine and address inequities in college student access and success, and for other purposes.",False,False,116,College Equity Act of 2019,Education,hr
hr2007-116,2019-01-01 00:04:00,"To require the Secretary of the Treasury to establish a program for the automated disclosure of taxpayer information for third-party income verification, and for other purposes.",False,False,116,"To require the Secretary of the Treasury to establish a program for the automated disclosure of taxpayer information for third-party income verification, and for other purposes.",Taxation,hr
hr2008-116,2019-01-01 00:04:00,"To prohibit the installation or display of art in any United States embassy, and for other purposes.",False,False,116,No Art in Embassies Act,International Affairs,hr
hr2009-116,2019-01-01 00:04:00,"To amend titles XVIII and XIX of the Social Security Act to provide equal coverage of in vitro specific IgE tests and percutaneous tests for allergies under the Medicare and Medicaid programs, and for other purposes.",False,False,116,Removing Barriers to Allergy Diagnostic Testing Act of 2019,Health,hr
hr2010-116,2019-01-01 00:04:00,"To ensure that a woman seeking a chemical abortion is informed that it may be possible to reverse the intended effects of the abortion if the woman changes her mind, and for other purposes.",False,False,116,Second Chance at Life Act of 2019,Health,hr
hr2011-116,2019-01-01 00:04:00,To amend the Public Health Service Act with respect to the treatment under section 351(k)(7) of such Act (relating to exclusivity for reference products) of certain products deemed to have a biologics license pursuant to section 7002 of the Biologics Price Competition and Innovation Act of 2009.,False,False,116,Protecting Access to Biosimilars Act of 2019,Health,hr
hr2012-116,2019-01-01 00:04:00,To amend the Controlled Substances Act to provide that Federal law shall not preempt State law.,False,False,116,Respect States' and Citizens' Rights Act of 2019,Crime and Law Enforcement,hr
hr2013-116,2019-01-01 00:04:00,"To require the Federal Trade Commission to promulgate regulations related to sensitive personal information, and for other purposes.",False,False,116,Information Transparency & Personal Data Control Act,Commerce,hr
hr2014-116,2019-01-01 00:04:00,To amend the Public Health Service Act to prohibit governmental discrimination against providers of health services that are not involved in abortion.,False,False,116,Conscience Protection Act of 2019,Health,hr
hr2015-116,2019-01-01 00:04:00,"To deter criminal robocall violations and improve enforcement of section 227(b) of the Communications Act of 1934, and for other purposes.",False,False,116,TRACED Act,"Science, Technology, Communications",hr
hr2016-116,2019-01-01 00:04:00,"To modify the authorized uses of certain property conveyed by the United States in Los Angeles, California.",False,False,116,"To modify the authorized uses of certain property conveyed by the United States in Los Angeles, California.",Public Lands and Natural Resources,hr
hr2017-116,2019-01-01 00:04:00,To amend the Internal Revenue Code of 1986 to make permanent the Indian employment credit.,False,False,116,To amend the Internal Revenue Code of 1986 to make permanent the Indian employment credit.,Taxation,hr
hr2018-116,2019-01-01 00:04:00,"To amend the Small Business Act to allow small business concerns, homeowners, or nonprofit entities to use certain Superstorm Sandy grant funds or other disaster assistance received to repay certain disaster assistance provided by the Small Business Administration, and for other purposes.",False,False,116,Equity for Disaster Victims Act of 2019,Commerce,hr
hr2019-116,2019-01-02 00:04:00,To provide for a smart water resource management pilot program.,False,False,116,Smart Energy and Water Efficiency Act of 2019,Water Resources Development,hr
hr2020-116,2019-01-02 00:04:00,"To amend the Controlled Substances Act to require a person that possesses or intends to possess a tableting machine or encapsulating machine to obtain registration from the Attorney General, and for other purposes.",False,False,116,STEER Act,Crime and Law Enforcement,hr
hr2021-116,2019-01-02 00:04:00,To amend the Balanced Budget and Emergency Deficit Control Act of 1985 and to establish a congressional budget for fiscal year 2020.,False,False,116,Investing for the People Act of 2019,Economics and Public Finance,hr
hr2022-116,2019-01-02 00:04:00,"To establish certain procurement procedures with respect to businesses wholly-owned through an ESOP, and for other purposes.",False,False,116,ESOP Business Act of 2019,Government Operations and Politics,hr
hr2023-116,2019-01-02 00:04:00,"To require reports by the Secretary of State and the Director of National Intelligence relating to construction of the Nord Stream 2 pipeline, and for other purposes.",False,False,116,Protect European Energy Security Act,International Affairs,hr
hr2024-116,2019-01-02 00:04:00,"To require a five-year staffing plan for the Department of State, and for other purposes.",False,False,116,Diplomatic Personnel Modernization Act,International Affairs,hr
hr2025-116,2019-01-02 00:04:00,To amend the Internal Revenue Code of 1986 to permanently extend the alternative fuel refueling property credit.,False,False,116,To amend the Internal Revenue Code of 1986 to permanently extend the alternative fuel refueling property credit.,Taxation,hr
hr2026-116,2019-01-02 00:04:00,To address the needs of individuals with disabilities within the Jeanne Clery Disclosure of Campus Security Policy and Campus Crime Statistics Act.,False,False,116,Safe Equitable Campus Resources and Education Act of 2019,Education,hr
hr2027-116,2019-01-02 00:04:00,"To amend the Ethics in Government Act of 1978 to require the President to place any financial conflicts of interest into a blind trust, and for other purposes.",False,False,116,Drain the Swamp and the President's Assets Act,Government Operations and Politics,hr
hr2028-116,2019-01-02 00:04:00,"To amend the National Security Act of 1947 to prohibit individuals who threaten to destroy the Government from participating in or attending meetings of the National Security Council, and for other purposes.",False,False,116,Make Our Government Safe Act,Armed Forces and National Security,hr
hr2029-116,2019-01-02 00:04:00,To direct the Comptroller General of the United States to submit a report on the response of law enforcement agencies to reports of missing or murdered Indians.,False,False,116,Studying the Missing and Murdered Indian Crisis Act of 2019,Native Americans,hr
hr2030-116,2019-01-02 00:04:00,"To direct the Secretary of the Interior to execute and carry out agreements concerning Colorado River Drought Contingency Management and Operations, and for other purposes.",True,False,116,Colorado River Drought Contingency Plan Authorization Act,Water Resources Development,hr
hr2031-116,2019-01-02 00:04:00,"To amend the Indian Self-Determination and Education Assistance Act to provide further self-governance by Indian Tribes, and for other purposes.",False,False,116,PROGRESS for Indian Tribes Act,Native Americans,hr
hr2032-116,2019-01-02 00:04:00,To amend the Internal Revenue Code of 1986 to allow individuals to designate overpayments of income tax for disaster relief.,False,False,116,Donate for Disaster Relief Act of 2019,Taxation,hr
hr2033-116,2019-01-02 00:04:00,To release to the State of Arkansas a reversionary interest in Camp Joseph T. Robinson.,False,False,116,To release to the State of Arkansas a reversionary interest in Camp Joseph T. Robinson.,Armed Forces and National Security,hr
hr2034-116,2019-01-02 00:04:00,"To improve the treatment of Federal prisoners who are primary caretaker parents, and for other purposes.",False,False,116,Dignity Act,Crime and Law Enforcement,hr
hr2035-116,2019-01-02 00:04:00,To amend title XXIX of the Public Health Service Act to reauthorize the program under such title relating to lifespan respite care.,True,False,116,Lifespan Respite Care Reauthorization Act of 2019,Health,hr
hr2036-116,2019-01-02 00:04:00,"To provide protections for amateur and professional athletes, and for other purposes.",False,False,116,NCAA Act of 2019,Education,hr
