"bill","date","status","status.prev"
"s0001-116",2019-01-03,"A. INTRODUCTION IN SENATE",NA
"s0001-116",2019-01-04,"C. ON SENATE CALENDAR","A. INTRODUCTION IN SENATE"
"s0001-116",2019-01-04,"D. SENATE DEBATE","C. ON SENATE CALENDAR"
"s0001-116",2019-02-05,"E. PASSED SENATE VOTE","D. SENATE DEBATE"
"s0001-116",2019-02-06,"F. REFERRED TO HOUSE","E. PASSED SENATE VOTE"
"s0002-116",2019-01-03,"A. INTRODUCTION IN SENATE",NA
"s0002-116",2019-02-27,"B. SENATE COMMITTEE CONSIDERATION","A. INTRODUCTION IN SENATE"
"s0003-116",2019-01-03,"A. INTRODUCTION IN SENATE",NA
"s0004-116",2019-01-03,"A. INTRODUCTION IN SENATE",NA
"s0005-116",2019-01-03,"A. INTRODUCTION IN SENATE",NA
"s0006-116",2019-01-03,"A. INTRODUCTION IN SENATE",NA
"s0007-116",2019-01-03,"A. INTRODUCTION IN SENATE",NA
"s0008-116",2019-01-03,"A. INTRODUCTION IN SENATE",NA
"s0009-116",2019-01-03,"A. INTRODUCTION IN SENATE",NA
"s0010-116",2019-01-03,"A. INTRODUCTION IN SENATE",NA
"s0011-116",2019-01-03,"A. INTRODUCTION IN SENATE",NA
"s0012-116",2019-01-03,"A. INTRODUCTION IN SENATE",NA
"s0013-116",2019-01-03,"A. INTRODUCTION IN SENATE",NA
"s0014-116",2019-01-03,"A. INTRODUCTION IN SENATE",NA
"s0015-116",2019-01-03,"A. INTRODUCTION IN SENATE",NA
"s0016-116",2019-01-03,"A. INTRODUCTION IN SENATE",NA
"s0017-116",2019-01-03,"A. INTRODUCTION IN SENATE",NA
"s0018-116",2019-01-03,"A. INTRODUCTION IN SENATE",NA
"s0019-116",2019-01-03,"A. INTRODUCTION IN SENATE",NA
"s0020-116",2019-01-03,"A. INTRODUCTION IN SENATE",NA
"s0021-116",2019-01-03,"A. INTRODUCTION IN SENATE",NA
"s0021-116",2019-01-04,"C. ON SENATE CALENDAR","A. INTRODUCTION IN SENATE"
"s0022-116",2019-01-03,"A. INTRODUCTION IN SENATE",NA
"s0023-116",2019-01-03,"A. INTRODUCTION IN SENATE",NA
"s0024-116",2019-01-03,"A. INTRODUCTION IN SENATE",NA
"s0024-116",2019-01-04,"C. ON SENATE CALENDAR","A. INTRODUCTION IN SENATE"
"s0024-116",2019-01-10,"E. PASSED SENATE VOTE","C. ON SENATE CALENDAR"
"s0024-116",2019-01-10,"F. REFERRED TO HOUSE","E. PASSED SENATE VOTE"
"s0024-116",2019-01-11,"I. HOUSE DEBATE","F. REFERRED TO HOUSE"
"s0024-116",2019-01-11,"J. PASSED HOUSE VOTE","I. HOUSE DEBATE"
"s0024-116",2019-01-14,"L. TO PRESIDENT","J. PASSED HOUSE VOTE"
"s0025-116",2019-01-03,"A. INTRODUCTION IN SENATE",NA
"s0026-116",2019-01-03,"A. INTRODUCTION IN SENATE",NA
"s0027-116",2019-01-03,"A. INTRODUCTION IN SENATE",NA
"s0028-116",2019-01-04,"A. INTRODUCTION IN SENATE",NA
"s0028-116",2019-01-08,"C. ON SENATE CALENDAR","A. INTRODUCTION IN SENATE"
"s0029-116",2019-01-04,"A. INTRODUCTION IN SENATE",NA
"s0030-116",2019-01-08,"A. INTRODUCTION IN SENATE",NA
"s0031-116",2019-01-08,"A. INTRODUCTION IN SENATE",NA
"s0032-116",2019-01-08,"A. INTRODUCTION IN SENATE",NA
"s0033-116",2019-01-08,"A. INTRODUCTION IN SENATE",NA
"s0034-116",2019-01-08,"A. INTRODUCTION IN SENATE",NA
"s0035-116",2019-01-08,"A. INTRODUCTION IN SENATE",NA
"s0036-116",2019-01-08,"A. INTRODUCTION IN SENATE",NA
"s0037-116",2019-01-08,"A. INTRODUCTION IN SENATE",NA
"s0038-116",2019-01-08,"A. INTRODUCTION IN SENATE",NA
"s0039-116",2019-01-08,"A. INTRODUCTION IN SENATE",NA
"s0040-116",2019-01-08,"A. INTRODUCTION IN SENATE",NA
"s0041-116",2019-01-08,"A. INTRODUCTION IN SENATE",NA
"s0042-116",2019-01-08,"A. INTRODUCTION IN SENATE",NA
"s0043-116",2019-01-08,"A. INTRODUCTION IN SENATE",NA
"s0044-116",2019-01-08,"A. INTRODUCTION IN SENATE",NA
"s0045-116",2019-01-08,"A. INTRODUCTION IN SENATE",NA
"s0046-116",2019-01-08,"A. INTRODUCTION IN SENATE",NA
"s0046-116",2019-01-29,"B. SENATE COMMITTEE CONSIDERATION","A. INTRODUCTION IN SENATE"
"s0046-116",2019-03-13,"C. ON SENATE CALENDAR","B. SENATE COMMITTEE CONSIDERATION"
"s0046-116",2019-06-27,"E. PASSED SENATE VOTE","C. ON SENATE CALENDAR"
