"bill","date","status","status.prev"
"s0046-116",2019-06-28,"F. REFERRED TO HOUSE","E. PASSED SENATE VOTE"
"s0046-116",2019-07-03,"G. HOUSE COMMITTEE CONSIDERATION","F. REFERRED TO HOUSE"
"s0047-116",2019-01-08,"A. INTRODUCTION IN SENATE",NA
"s0047-116",2019-01-09,"C. ON SENATE CALENDAR","A. INTRODUCTION IN SENATE"
"s0047-116",2019-01-31,"D. SENATE DEBATE","C. ON SENATE CALENDAR"
"s0047-116",2019-02-12,"E. PASSED SENATE VOTE","D. SENATE DEBATE"
"s0047-116",2019-02-13,"F. REFERRED TO HOUSE","E. PASSED SENATE VOTE"
"s0047-116",2019-02-26,"I. HOUSE DEBATE","F. REFERRED TO HOUSE"
"s0047-116",2019-02-26,"J. PASSED HOUSE VOTE","I. HOUSE DEBATE"
"s0047-116",2019-03-06,"L. TO PRESIDENT","J. PASSED HOUSE VOTE"
"s0048-116",2019-01-08,"A. INTRODUCTION IN SENATE",NA
"s0049-116",2019-01-08,"A. INTRODUCTION IN SENATE",NA
"s0049-116",2019-02-05,"B. SENATE COMMITTEE CONSIDERATION","A. INTRODUCTION IN SENATE"
"s0049-116",2019-02-05,"E. PASSED SENATE VOTE","B. SENATE COMMITTEE CONSIDERATION"
"s0049-116",2019-02-05,"F. REFERRED TO HOUSE","E. PASSED SENATE VOTE"
"s0049-116",2019-02-08,"G. HOUSE COMMITTEE CONSIDERATION","F. REFERRED TO HOUSE"
"s0049-116",2019-03-05,"I. HOUSE DEBATE","G. HOUSE COMMITTEE CONSIDERATION"
"s0049-116",2019-03-05,"J. PASSED HOUSE VOTE","I. HOUSE DEBATE"
"s0049-116",2019-03-11,"L. TO PRESIDENT","J. PASSED HOUSE VOTE"
"s0050-116",2019-01-08,"A. INTRODUCTION IN SENATE",NA
"s0050-116",2019-01-29,"B. SENATE COMMITTEE CONSIDERATION","A. INTRODUCTION IN SENATE"
"s0050-116",2019-03-13,"C. ON SENATE CALENDAR","B. SENATE COMMITTEE CONSIDERATION"
"s0050-116",2019-06-27,"E. PASSED SENATE VOTE","C. ON SENATE CALENDAR"
"s0050-116",2019-06-28,"F. REFERRED TO HOUSE","E. PASSED SENATE VOTE"
"s0051-116",2019-01-08,"A. INTRODUCTION IN SENATE",NA
"s0051-116",2019-01-29,"B. SENATE COMMITTEE CONSIDERATION","A. INTRODUCTION IN SENATE"
"s0052-116",2019-01-08,"A. INTRODUCTION IN SENATE",NA
"s0053-116",2019-01-08,"A. INTRODUCTION IN SENATE",NA
"s0054-116",2019-01-08,"A. INTRODUCTION IN SENATE",NA
"s0055-116",2019-01-08,"A. INTRODUCTION IN SENATE",NA
"s0056-116",2019-01-08,"A. INTRODUCTION IN SENATE",NA
"s0057-116",2019-01-08,"A. INTRODUCTION IN SENATE",NA
"s0058-116",2019-01-08,"A. INTRODUCTION IN SENATE",NA
"s0059-116",2019-01-08,"A. INTRODUCTION IN SENATE",NA
"s0060-116",2019-01-09,"A. INTRODUCTION IN SENATE",NA
"s0061-116",2019-01-09,"A. INTRODUCTION IN SENATE",NA
"s0062-116",2019-01-09,"A. INTRODUCTION IN SENATE",NA
"s0063-116",2019-01-09,"A. INTRODUCTION IN SENATE",NA
"s0064-116",2019-01-09,"A. INTRODUCTION IN SENATE",NA
"s0065-116",2019-01-09,"A. INTRODUCTION IN SENATE",NA
"s0066-116",2019-01-09,"A. INTRODUCTION IN SENATE",NA
"s0067-116",2019-01-09,"A. INTRODUCTION IN SENATE",NA
"s0068-116",2019-01-09,"A. INTRODUCTION IN SENATE",NA
"s0069-116",2019-01-09,"A. INTRODUCTION IN SENATE",NA
"s0070-116",2019-01-09,"A. INTRODUCTION IN SENATE",NA
"s0071-116",2019-01-09,"A. INTRODUCTION IN SENATE",NA
"s0072-116",2019-01-09,"A. INTRODUCTION IN SENATE",NA
"s0073-116",2019-01-10,"A. INTRODUCTION IN SENATE",NA
"s0074-116",2019-01-10,"A. INTRODUCTION IN SENATE",NA
"s0075-116",2019-01-10,"A. INTRODUCTION IN SENATE",NA
"s0076-116",2019-01-10,"A. INTRODUCTION IN SENATE",NA
"s0077-116",2019-01-10,"A. INTRODUCTION IN SENATE",NA
"s0078-116",2019-01-10,"A. INTRODUCTION IN SENATE",NA
"s0078-116",2019-05-22,"B. SENATE COMMITTEE CONSIDERATION","A. INTRODUCTION IN SENATE"
"s0079-116",2019-01-10,"A. INTRODUCTION IN SENATE",NA
"s0080-116",2019-01-10,"A. INTRODUCTION IN SENATE",NA
"s0081-116",2019-01-10,"A. INTRODUCTION IN SENATE",NA
"s0082-116",2019-01-10,"A. INTRODUCTION IN SENATE",NA
"s0083-116",2019-01-10,"A. INTRODUCTION IN SENATE",NA
"s0083-116",2019-05-22,"B. SENATE COMMITTEE CONSIDERATION","A. INTRODUCTION IN SENATE"
"s0084-116",2019-01-10,"A. INTRODUCTION IN SENATE",NA
"s0084-116",2019-02-13,"B. SENATE COMMITTEE CONSIDERATION","A. INTRODUCTION IN SENATE"
"s0085-116",2019-01-10,"A. INTRODUCTION IN SENATE",NA
"s0086-116",2019-01-10,"A. INTRODUCTION IN SENATE",NA
"s0087-116",2019-01-10,"A. INTRODUCTION IN SENATE",NA
"s0088-116",2019-01-10,"A. INTRODUCTION IN SENATE",NA
"s0089-116",2019-01-10,"A. INTRODUCTION IN SENATE",NA
"s0090-116",2019-01-10,"A. INTRODUCTION IN SENATE",NA
"s0091-116",2019-01-10,"A. INTRODUCTION IN SENATE",NA
"s0092-116",2019-01-10,"A. INTRODUCTION IN SENATE",NA
"s0093-116",2019-01-10,"A. INTRODUCTION IN SENATE",NA
"s0094-116",2019-01-10,"A. INTRODUCTION IN SENATE",NA
"s0094-116",2019-02-05,"B. SENATE COMMITTEE CONSIDERATION","A. INTRODUCTION IN SENATE"
"s0094-116",2019-02-05,"C. ON SENATE CALENDAR","B. SENATE COMMITTEE CONSIDERATION"
"s0094-116",2019-03-14,"B. SENATE COMMITTEE CONSIDERATION","C. ON SENATE CALENDAR"
"s0094-116",2019-04-10,"E. PASSED SENATE VOTE","B. SENATE COMMITTEE CONSIDERATION"
"s0094-116",2019-04-30,"C. ON SENATE CALENDAR","E. PASSED SENATE VOTE"
"s0095-116",2019-01-10,"A. INTRODUCTION IN SENATE",NA
"s0096-116",2019-01-10,"A. INTRODUCTION IN SENATE",NA
"s0097-116",2019-01-10,"A. INTRODUCTION IN SENATE",NA
"s0098-116",2019-01-10,"A. INTRODUCTION IN SENATE",NA
"s0099-116",2019-01-10,"A. INTRODUCTION IN SENATE",NA
"s0100-116",2019-01-10,"A. INTRODUCTION IN SENATE",NA
"s0101-116",2019-01-10,"A. INTRODUCTION IN SENATE",NA
"s0102-116",2019-01-10,"A. INTRODUCTION IN SENATE",NA
"s0103-116",2019-01-10,"A. INTRODUCTION IN SENATE",NA
"s0104-116",2019-01-10,"A. INTRODUCTION IN SENATE",NA
"s0105-116",2019-01-10,"A. INTRODUCTION IN SENATE",NA
"s0106-116",2019-01-10,"A. INTRODUCTION IN SENATE",NA
"s0107-116",2019-01-10,"A. INTRODUCTION IN SENATE",NA
"s0108-116",2019-01-10,"A. INTRODUCTION IN SENATE",NA
"s0109-116",2019-01-10,"A. INTRODUCTION IN SENATE",NA
"s0109-116",2019-01-11,"C. ON SENATE CALENDAR","A. INTRODUCTION IN SENATE"
"s0109-116",2019-01-16,"D. SENATE DEBATE","C. ON SENATE CALENDAR"
"s0110-116",2019-01-10,"A. INTRODUCTION IN SENATE",NA
"s0111-116",2019-01-10,"A. INTRODUCTION IN SENATE",NA
"s0112-116",2019-01-14,"A. INTRODUCTION IN SENATE",NA
"s0113-116",2019-01-14,"A. INTRODUCTION IN SENATE",NA
"s0114-116",2019-01-14,"A. INTRODUCTION IN SENATE",NA
"s0115-116",2019-01-15,"A. INTRODUCTION IN SENATE",NA
"s0116-116",2019-01-15,"A. INTRODUCTION IN SENATE",NA
"s0117-116",2019-01-15,"A. INTRODUCTION IN SENATE",NA
"s0118-116",2019-01-15,"A. INTRODUCTION IN SENATE",NA
"s0118-116",2019-05-15,"B. SENATE COMMITTEE CONSIDERATION","A. INTRODUCTION IN SENATE"
"s0119-116",2019-01-15,"A. INTRODUCTION IN SENATE",NA
"s0120-116",2019-01-15,"A. INTRODUCTION IN SENATE",NA
"s0121-116",2019-01-15,"A. INTRODUCTION IN SENATE",NA
"s0122-116",2019-01-15,"A. INTRODUCTION IN SENATE",NA
"s0123-116",2019-01-15,"A. INTRODUCTION IN SENATE",NA
"s0123-116",2019-05-22,"B. SENATE COMMITTEE CONSIDERATION","A. INTRODUCTION IN SENATE"
"s0124-116",2019-01-15,"A. INTRODUCTION IN SENATE",NA
"s0125-116",2019-01-15,"A. INTRODUCTION IN SENATE",NA
"s0126-116",2019-01-15,"A. INTRODUCTION IN SENATE",NA
"s0127-116",2019-01-15,"A. INTRODUCTION IN SENATE",NA
"s0128-116",2019-01-15,"A. INTRODUCTION IN SENATE",NA
"s0129-116",2019-01-15,"A. INTRODUCTION IN SENATE",NA
"s0130-116",2019-01-15,"A. INTRODUCTION IN SENATE",NA
"s0131-116",2019-01-15,"A. INTRODUCTION IN SENATE",NA
"s0132-116",2019-01-15,"A. INTRODUCTION IN SENATE",NA
"s0133-116",2019-01-15,"A. INTRODUCTION IN SENATE",NA
"s0134-116",2019-01-15,"A. INTRODUCTION IN SENATE",NA
"s0135-116",2019-01-15,"A. INTRODUCTION IN SENATE",NA
"s0136-116",2019-01-15,"A. INTRODUCTION IN SENATE",NA
"s0137-116",2019-01-16,"A. INTRODUCTION IN SENATE",NA
"s0138-116",2019-01-16,"A. INTRODUCTION IN SENATE",NA
"s0139-116",2019-01-16,"A. INTRODUCTION IN SENATE",NA
"s0140-116",2019-01-16,"A. INTRODUCTION IN SENATE",NA
"s0141-116",2019-01-16,"A. INTRODUCTION IN SENATE",NA
"s0142-116",2019-01-16,"A. INTRODUCTION IN SENATE",NA
"s0143-116",2019-01-16,"A. INTRODUCTION IN SENATE",NA
"s0143-116",2019-07-09,"B. SENATE COMMITTEE CONSIDERATION","A. INTRODUCTION IN SENATE"
"s0143-116",2019-08-16,"C. ON SENATE CALENDAR","B. SENATE COMMITTEE CONSIDERATION"
"s0144-116",2019-01-16,"A. INTRODUCTION IN SENATE",NA
"s0145-116",2019-01-16,"A. INTRODUCTION IN SENATE",NA
"s0146-116",2019-01-16,"A. INTRODUCTION IN SENATE",NA
"s0147-116",2019-01-16,"A. INTRODUCTION IN SENATE",NA
"s0148-116",2019-01-16,"A. INTRODUCTION IN SENATE",NA
"s0149-116",2019-01-16,"A. INTRODUCTION IN SENATE",NA
"s0149-116",2019-07-10,"B. SENATE COMMITTEE CONSIDERATION","A. INTRODUCTION IN SENATE"
"s0150-116",2019-01-16,"A. INTRODUCTION IN SENATE",NA
"s0151-116",2019-01-16,"A. INTRODUCTION IN SENATE",NA
"s0151-116",2019-04-03,"B. SENATE COMMITTEE CONSIDERATION","A. INTRODUCTION IN SENATE"
"s0151-116",2019-05-21,"C. ON SENATE CALENDAR","B. SENATE COMMITTEE CONSIDERATION"
"s0151-116",2019-05-23,"E. PASSED SENATE VOTE","C. ON SENATE CALENDAR"
"s0151-116",2019-05-23,"F. REFERRED TO HOUSE","E. PASSED SENATE VOTE"
"s0152-116",2019-01-16,"A. INTRODUCTION IN SENATE",NA
"s0153-116",2019-01-16,"A. INTRODUCTION IN SENATE",NA
"s0153-116",2019-07-10,"B. SENATE COMMITTEE CONSIDERATION","A. INTRODUCTION IN SENATE"
"s0154-116",2019-01-16,"A. INTRODUCTION IN SENATE",NA
"s0155-116",2019-01-16,"A. INTRODUCTION IN SENATE",NA
"s0156-116",2019-01-16,"A. INTRODUCTION IN SENATE",NA
"s0157-116",2019-01-16,"A. INTRODUCTION IN SENATE",NA
"s0158-116",2019-01-16,"A. INTRODUCTION IN SENATE",NA
"s0159-116",2019-01-16,"A. INTRODUCTION IN SENATE",NA
"s0160-116",2019-01-16,"A. INTRODUCTION IN SENATE",NA
"s0160-116",2019-04-09,"B. SENATE COMMITTEE CONSIDERATION","A. INTRODUCTION IN SENATE"
"s0161-116",2019-01-16,"A. INTRODUCTION IN SENATE",NA
"s0162-116",2019-01-16,"A. INTRODUCTION IN SENATE",NA
"s0163-116",2019-01-16,"A. INTRODUCTION IN SENATE",NA
"s0163-116",2019-02-05,"B. SENATE COMMITTEE CONSIDERATION","A. INTRODUCTION IN SENATE"
"s0163-116",2019-02-05,"C. ON SENATE CALENDAR","B. SENATE COMMITTEE CONSIDERATION"
"s0163-116",2019-02-25,"B. SENATE COMMITTEE CONSIDERATION","C. ON SENATE CALENDAR"
"s0163-116",2019-05-20,"E. PASSED SENATE VOTE","B. SENATE COMMITTEE CONSIDERATION"
"s0163-116",2019-05-21,"F. REFERRED TO HOUSE","E. PASSED SENATE VOTE"
"s0163-116",2019-09-17,"G. HOUSE COMMITTEE CONSIDERATION","F. REFERRED TO HOUSE"
"s0163-116",2019-09-17,"J. PASSED HOUSE VOTE","G. HOUSE COMMITTEE CONSIDERATION"
"s0163-116",2019-09-23,"L. TO PRESIDENT","J. PASSED HOUSE VOTE"
"s0164-116",2019-01-16,"A. INTRODUCTION IN SENATE",NA
"s0165-116",2019-01-16,"A. INTRODUCTION IN SENATE",NA
"s0166-116",2019-01-16,"A. INTRODUCTION IN SENATE",NA
"s0167-116",2019-01-16,"A. INTRODUCTION IN SENATE",NA
"s0168-116",2019-01-16,"A. INTRODUCTION IN SENATE",NA
"s0169-116",2019-01-16,"A. INTRODUCTION IN SENATE",NA
"s0170-116",2019-01-16,"A. INTRODUCTION IN SENATE",NA
"s0171-116",2019-01-16,"A. INTRODUCTION IN SENATE",NA
"s0172-116",2019-01-16,"A. INTRODUCTION IN SENATE",NA
"s0173-116",2019-01-17,"A. INTRODUCTION IN SENATE",NA
"s0174-116",2019-01-17,"A. INTRODUCTION IN SENATE",NA
"s0174-116",2019-07-16,"B. SENATE COMMITTEE CONSIDERATION","A. INTRODUCTION IN SENATE"
"s0174-116",2019-08-16,"C. ON SENATE CALENDAR","B. SENATE COMMITTEE CONSIDERATION"
"s0175-116",2019-01-17,"A. INTRODUCTION IN SENATE",NA
"s0176-116",2019-01-17,"A. INTRODUCTION IN SENATE",NA
"s0177-116",2019-01-17,"A. INTRODUCTION IN SENATE",NA
"s0178-116",2019-01-17,"A. INTRODUCTION IN SENATE",NA
"s0178-116",2019-05-22,"B. SENATE COMMITTEE CONSIDERATION","A. INTRODUCTION IN SENATE"
"s0178-116",2019-06-03,"C. ON SENATE CALENDAR","B. SENATE COMMITTEE CONSIDERATION"
"s0178-116",2019-09-11,"E. PASSED SENATE VOTE","C. ON SENATE CALENDAR"
"s0178-116",2019-09-12,"F. REFERRED TO HOUSE","E. PASSED SENATE VOTE"
"s0179-116",2019-01-17,"A. INTRODUCTION IN SENATE",NA
"s0180-116",2019-01-17,"A. INTRODUCTION IN SENATE",NA
"s0181-116",2019-01-17,"A. INTRODUCTION IN SENATE",NA
"s0182-116",2019-01-17,"A. INTRODUCTION IN SENATE",NA
"s0183-116",2019-01-17,"A. INTRODUCTION IN SENATE",NA
"s0184-116",2019-01-17,"A. INTRODUCTION IN SENATE",NA
"s0185-116",2019-01-17,"A. INTRODUCTION IN SENATE",NA
"s0186-116",2019-01-17,"A. INTRODUCTION IN SENATE",NA
"s0187-116",2019-01-17,"A. INTRODUCTION IN SENATE",NA
"s0188-116",2019-01-17,"A. INTRODUCTION IN SENATE",NA
"s0189-116",2019-01-17,"A. INTRODUCTION IN SENATE",NA
"s0190-116",2019-01-17,"A. INTRODUCTION IN SENATE",NA
"s0191-116",2019-01-17,"A. INTRODUCTION IN SENATE",NA
"s0192-116",2019-01-18,"A. INTRODUCTION IN SENATE",NA
"s0193-116",2019-01-18,"A. INTRODUCTION IN SENATE",NA
"s0194-116",2019-01-19,"A. INTRODUCTION IN SENATE",NA
"s0195-116",2019-01-19,"A. INTRODUCTION IN SENATE",NA
"s0195-116",2019-02-13,"B. SENATE COMMITTEE CONSIDERATION","A. INTRODUCTION IN SENATE"
"s0195-116",2019-04-10,"C. ON SENATE CALENDAR","B. SENATE COMMITTEE CONSIDERATION"
"s0196-116",2019-01-19,"A. INTRODUCTION IN SENATE",NA
"s0196-116",2019-02-13,"B. SENATE COMMITTEE CONSIDERATION","A. INTRODUCTION IN SENATE"
"s0196-116",2019-04-10,"C. ON SENATE CALENDAR","B. SENATE COMMITTEE CONSIDERATION"
"s0197-116",2019-01-22,"A. INTRODUCTION IN SENATE",NA
"s0198-116",2019-01-22,"A. INTRODUCTION IN SENATE",NA
"s0199-116",2019-01-24,"A. INTRODUCTION IN SENATE",NA
"s0199-116",2019-01-29,"B. SENATE COMMITTEE CONSIDERATION","A. INTRODUCTION IN SENATE"
"s0199-116",2019-03-07,"C. ON SENATE CALENDAR","B. SENATE COMMITTEE CONSIDERATION"
"s0199-116",2019-06-27,"E. PASSED SENATE VOTE","C. ON SENATE CALENDAR"
"s0199-116",2019-06-28,"F. REFERRED TO HOUSE","E. PASSED SENATE VOTE"
"s0199-116",2019-07-03,"G. HOUSE COMMITTEE CONSIDERATION","F. REFERRED TO HOUSE"
"s0200-116",2019-01-24,"A. INTRODUCTION IN SENATE",NA
"s0201-116",2019-01-24,"A. INTRODUCTION IN SENATE",NA
"s0202-116",2019-01-24,"A. INTRODUCTION IN SENATE",NA
"s0203-116",2019-01-24,"A. INTRODUCTION IN SENATE",NA
"s0204-116",2019-01-24,"A. INTRODUCTION IN SENATE",NA
"s0205-116",2019-01-24,"A. INTRODUCTION IN SENATE",NA
"s0206-116",2019-01-24,"A. INTRODUCTION IN SENATE",NA
"s0207-116",2019-01-24,"A. INTRODUCTION IN SENATE",NA
"s0207-116",2019-01-29,"B. SENATE COMMITTEE CONSIDERATION","A. INTRODUCTION IN SENATE"
"s0208-116",2019-01-24,"A. INTRODUCTION IN SENATE",NA
"s0209-116",2019-01-24,"A. INTRODUCTION IN SENATE",NA
"s0209-116",2019-01-29,"B. SENATE COMMITTEE CONSIDERATION","A. INTRODUCTION IN SENATE"
"s0209-116",2019-04-29,"C. ON SENATE CALENDAR","B. SENATE COMMITTEE CONSIDERATION"
"s0209-116",2019-06-27,"E. PASSED SENATE VOTE","C. ON SENATE CALENDAR"
"s0209-116",2019-06-28,"F. REFERRED TO HOUSE","E. PASSED SENATE VOTE"
"s0209-116",2019-07-03,"G. HOUSE COMMITTEE CONSIDERATION","F. REFERRED TO HOUSE"
"s0210-116",2019-01-24,"A. INTRODUCTION IN SENATE",NA
"s0210-116",2019-01-29,"B. SENATE COMMITTEE CONSIDERATION","A. INTRODUCTION IN SENATE"
"s0210-116",2019-05-06,"C. ON SENATE CALENDAR","B. SENATE COMMITTEE CONSIDERATION"
"s0211-116",2019-01-24,"A. INTRODUCTION IN SENATE",NA
"s0211-116",2019-01-29,"B. SENATE COMMITTEE CONSIDERATION","A. INTRODUCTION IN SENATE"
"s0211-116",2019-05-13,"C. ON SENATE CALENDAR","B. SENATE COMMITTEE CONSIDERATION"
"s0212-116",2019-01-24,"A. INTRODUCTION IN SENATE",NA
"s0212-116",2019-01-29,"B. SENATE COMMITTEE CONSIDERATION","A. INTRODUCTION IN SENATE"
"s0212-116",2019-04-08,"C. ON SENATE CALENDAR","B. SENATE COMMITTEE CONSIDERATION"
"s0212-116",2019-06-27,"E. PASSED SENATE VOTE","C. ON SENATE CALENDAR"
"s0212-116",2019-06-28,"F. REFERRED TO HOUSE","E. PASSED SENATE VOTE"
"s0212-116",2019-07-03,"G. HOUSE COMMITTEE CONSIDERATION","F. REFERRED TO HOUSE"
"s0213-116",2019-01-24,"A. INTRODUCTION IN SENATE",NA
"s0214-116",2019-01-24,"A. INTRODUCTION IN SENATE",NA
"s0215-116",2019-01-24,"A. INTRODUCTION IN SENATE",NA
"s0216-116",2019-01-24,"A. INTRODUCTION IN SENATE",NA
"s0216-116",2019-01-29,"B. SENATE COMMITTEE CONSIDERATION","A. INTRODUCTION IN SENATE"
"s0216-116",2019-03-07,"C. ON SENATE CALENDAR","B. SENATE COMMITTEE CONSIDERATION"
"s0216-116",2019-06-27,"E. PASSED SENATE VOTE","C. ON SENATE CALENDAR"
"s0216-116",2019-06-28,"F. REFERRED TO HOUSE","E. PASSED SENATE VOTE"
"s0216-116",2019-07-03,"G. HOUSE COMMITTEE CONSIDERATION","F. REFERRED TO HOUSE"
"s0217-116",2019-01-24,"A. INTRODUCTION IN SENATE",NA
"s0218-116",2019-01-24,"A. INTRODUCTION IN SENATE",NA
"s0219-116",2019-01-24,"A. INTRODUCTION IN SENATE",NA
"s0220-116",2019-01-24,"A. INTRODUCTION IN SENATE",NA
"s0221-116",2019-01-24,"A. INTRODUCTION IN SENATE",NA
"s0221-116",2019-05-22,"B. SENATE COMMITTEE CONSIDERATION","A. INTRODUCTION IN SENATE"
"s0222-116",2019-01-24,"A. INTRODUCTION IN SENATE",NA
"s0223-116",2019-01-24,"A. INTRODUCTION IN SENATE",NA
"s0224-116",2019-01-24,"A. INTRODUCTION IN SENATE",NA
"s0224-116",2019-01-29,"B. SENATE COMMITTEE CONSIDERATION","A. INTRODUCTION IN SENATE"
"s0224-116",2019-03-25,"C. ON SENATE CALENDAR","B. SENATE COMMITTEE CONSIDERATION"
"s0224-116",2019-06-27,"E. PASSED SENATE VOTE","C. ON SENATE CALENDAR"
"s0224-116",2019-06-28,"F. REFERRED TO HOUSE","E. PASSED SENATE VOTE"
"s0224-116",2019-07-03,"G. HOUSE COMMITTEE CONSIDERATION","F. REFERRED TO HOUSE"
"s0225-116",2019-01-24,"A. INTRODUCTION IN SENATE",NA
"s0225-116",2019-06-19,"B. SENATE COMMITTEE CONSIDERATION","A. INTRODUCTION IN SENATE"
"s0226-116",2019-01-24,"A. INTRODUCTION IN SENATE",NA
"s0226-116",2019-01-29,"B. SENATE COMMITTEE CONSIDERATION","A. INTRODUCTION IN SENATE"
"s0226-116",2019-04-09,"C. ON SENATE CALENDAR","B. SENATE COMMITTEE CONSIDERATION"
"s0227-116",2019-01-25,"A. INTRODUCTION IN SENATE",NA
"s0227-116",2019-06-19,"B. SENATE COMMITTEE CONSIDERATION","A. INTRODUCTION IN SENATE"
"s0228-116",2019-01-25,"A. INTRODUCTION IN SENATE",NA
"s0229-116",2019-01-25,"A. INTRODUCTION IN SENATE",NA
"s0230-116",2019-01-25,"A. INTRODUCTION IN SENATE",NA
"s0231-116",2019-01-25,"A. INTRODUCTION IN SENATE",NA
"s0232-116",2019-01-28,"A. INTRODUCTION IN SENATE",NA
"s0233-116",2019-01-28,"A. INTRODUCTION IN SENATE",NA
"s0234-116",2019-01-28,"A. INTRODUCTION IN SENATE",NA
"s0235-116",2019-01-28,"A. INTRODUCTION IN SENATE",NA
"s0236-116",2019-01-28,"A. INTRODUCTION IN SENATE",NA
"s0237-116",2019-01-28,"A. INTRODUCTION IN SENATE",NA
"s0238-116",2019-01-28,"A. INTRODUCTION IN SENATE",NA
