_id,_introduced,_official_title,_passed_house,_passed_senate,_session,_short_title,_top_subject,_type
hr1000-116,2019-01-06 00:02:00,"To establish a National Full Employment Trust Fund to create employment opportunities for the unemployed, and for other purposes.",False,False,116,Jobs for All Act,Labor and Employment,hr
hr1001-116,2019-01-06 00:02:00,To direct the Secretary of Veterans Affairs to provide a process by which a family member of a deceased individual who is eligible for the Department of Veterans Affairs burn pit registry may register for such registry on behalf of the deceased individual.,False,False,116,Family Member Access to Burn Pit Registry Act,Armed Forces and National Security,hr
hr1002-116,2019-01-06 00:02:00,"To amend the Animal Welfare Act to prohibit the issuance of licenses to certain individuals connected to dealers of dogs who have had licenses revoked, and for other purposes.",False,False,116,WOOF! Act,Animals,hr
hr1003-116,2019-01-06 00:02:00,To posthumously award a Congressional Gold Medal to Aretha Franklin in recognition of her contributions of outstanding artistic and historical significance to culture in the United States.,False,False,116,Aretha Franklin Congressional Gold Medal Act,"Arts, Culture, Religion",hr
hr1004-116,2019-01-06 00:02:00,"To prohibit the introduction of United States Armed Forces into hostilities with respect to Venezuela, and for other purposes.",False,False,116,Prohibiting Unauthorized Military Action in Venezuela Act,International Affairs,hr
hr1005-116,2019-01-06 00:02:00,"To direct the Secretary of Veterans Affairs to amend the schedule for rating disabilities to add a diagnostic code and evaluation criteria for obliterative bronchiolitis, and for other purposes.",False,False,116,Burn Pit Veterans Revision Act,Armed Forces and National Security,hr
hr1006-116,2019-01-06 00:02:00,"To amend title I of the Communications Act of 1934 to provide for internet openness, and for other purposes.",False,False,116,Open Internet Act of 2019,"Science, Technology, Communications",hr
hr1007-116,2019-01-06 00:02:00,"To amend the Internal Revenue Code of 1986 to encourage retirement savings, and for other purposes.",False,False,116,Retirement Enhancement and Savings Act of 2019,Taxation,hr
hr1008-116,2019-01-06 00:02:00,"To amend section 232 of the Trade Expansion Act of 1962 to require the Secretary of Defense to initiate investigations and to provide for congressional disapproval of certain actions, and for other purposes.",False,False,116,Trade Security Act of 2019,Foreign Trade and International Finance,hr
hr1009-116,2019-01-06 00:02:00,"To provide for the study and evaluation of net metering, and for other purposes.",False,False,116,National Evaluation of Techniques for Making Energy Technologies More Efficient and Resilient Act of 2019,Energy,hr
hr1010-116,2019-01-06 00:02:00,"To provide that the rule entitled ""Short-Term, Limited Duration Insurance"" shall have no force or effect.",False,False,116,"To provide that the rule entitled ""Short-Term, Limited Duration Insurance"" shall have no force or effect.",Health,hr
hr1011-116,2019-01-06 00:02:00,"To amend section 287 of the Immigration and Nationality Act to limit immigration enforcement actions at sensitive locations, to clarify the powers of immigration officers at sensitive locations, and for other purposes.",False,False,116,Protecting Sensitive Locations Act,Immigration,hr
hr1012-116,2019-01-06 00:02:00,"To reunite families separated at or near ports of entry, and for other purposes.",False,False,116,REUNITE Act,Immigration,hr
hr1013-116,2019-01-06 00:02:00,"To require agents and officers of U.S. Immigration and Customs Enforcement and U.S. Customs and Border Protection to wear body cameras, and for other purposes.",False,False,116,ICE and CBP Body Camera Accountability Act,Immigration,hr
hr1014-116,2019-01-06 00:02:00,"To amend the Outer Continental Shelf Lands Act to apply to territories of the United States, to establish offshore wind lease sale requirements, to provide dedicated funding for coral reef conservation, and for other purposes.",False,False,116,Offshore Wind for Territories Act,Energy,hr
hr1015-116,2019-01-06 00:02:00,"To provide for the establishment of a national memorial and national monument to commemorate those killed by the collapse of the Saint Francis Dam on March 12, 1928, and for other purposes.",False,False,116,Saint Francis Dam Disaster National Memorial Act,Water Resources Development,hr
hr1016-116,2019-01-06 00:02:00,"To amend title 31, United States Code, to reimburse employees of the Federal Government and the District of Columbia, Federal contractors, and the States for certain costs incurred as a result of a Government shutdown, and for other purposes.",False,False,116,Pay Workers What They've Earned Act,Government Operations and Politics,hr
hr1017-116,2019-01-06 00:02:00,"To amend title 10, United States Code, to authorize the Secretary of Defense to provide space-available travel on aircraft of the Department of Defense to children, surviving spouses, and siblings of members of the Armed Forces who die while serving in the active military, naval, or air service.",False,False,116,"To amend title 10, United States Code, to authorize the Secretary of Defense to provide space-available travel on aircraft of the Department of Defense to children, surviving spouses, and siblings of members of the Armed Forces who die while serving in th",Armed Forces and National Security,hr
hr1018-116,2019-01-06 00:02:00,To amend the Securities Exchange Act of 1934 to require the submission by issuers of data relating to diversity and for other purposes.,False,False,116,Improving Corporate Governance Through Diversity Act of 2019,Finance and Financial Sector,hr
hr1019-116,2019-01-06 00:02:00,"To amend title 10, United States Code, to require a full military honors ceremony for certain deceased veterans, and for other purposes.",False,False,116,Full Military Honors Act of 2019,Armed Forces and National Security,hr
hr1020-116,2019-01-06 00:02:00,"To amend the Ethics in Government Act of 1978 to require Members of Congress to disclose business ties with foreign entities, and for other purposes.",False,False,116,"To amend the Ethics in Government Act of 1978 to require Members of Congress to disclose business ties with foreign entities, and for other purposes.",Congress,hr
hr1021-116,2019-01-06 00:02:00,"To amend title 18, United States Code, to establish a uniform 5-year post-employment ban on all lobbying by former Members of Congress, to establish a uniform 2-year post-employment ban on all lobbying by former officers and employees of Congress, to lower the income threshold for applying such ban to former officers and employees of Congress, and for other purposes.",False,False,116,Public Service Integrity Act,Crime and Law Enforcement,hr
hr1022-116,2019-01-06 00:02:00,To provide that a former Member of Congress or former senior Congressional employee who receives compensation as a lobbyist representing a foreign principal shall not be eligible for retirement benefits or certain other Federal benefits.,False,False,116,To provide that a former Member of Congress or former senior Congressional employee who receives compensation as a lobbyist representing a foreign principal shall not be eligible for retirement benefits or certain other Federal benefits.,Government Operations and Politics,hr
hr1023-116,2019-01-06 00:02:00,"To authorize the Director of the United States Geological Survey to conduct monitoring, assessment, science, and research, in support of the binational fisheries within the Great Lakes Basin, and for other purposes.",False,False,116,Great Lakes Fishery Research Authorization Act of 2019,Public Lands and Natural Resources,hr
hr1024-116,2019-01-06 00:02:00,"To require the Administrator of the Environmental Protection Agency to revise labeling requirements for fuel pumps that dispense E15, and for other purposes.",False,False,116,Consumer Protection and Fuel Transparency Act of 2019,Energy,hr
hr1025-116,2019-01-06 00:02:00,"To counter the mass arbitrary detention of Turkic Muslims, including Uighurs, within the Xinjiang Uighur Autonomous Region of the People's Republic of China, and for other purposes.",False,False,116,UIGHUR Act of 2019,International Affairs,hr
hr1026-116,2019-01-06 00:02:00,"To provide for consistent and reliable authority and funding to meet conservation and deferred maintenance needs affecting lands under the administrative jurisdiction of the Department of the Interior and the Department of Agriculture, and for other purposes.",False,False,116,LAND Act,Public Lands and Natural Resources,hr
hr1027-116,2019-01-06 00:02:00,To amend the Internal Revenue Code of 1986 to terminate the credit for new qualified plug-in electric drive motor vehicles and to provide for a Federal highway user fee on alternative fuel vehicles.,False,False,116,Fairness for Every Driver Act,Taxation,hr
hr1028-116,2019-01-06 00:02:00,"To reform certain ethics rules of the Federal Government, and for other purposes.",False,False,116,RIGHT Act of 2019,Government Operations and Politics,hr
hr1029-116,2019-01-06 00:02:00,"To direct the Administrator of the National Aeronautics and Space Administration to submit to Congress a report on the merits of, and options for, establishing an institute relating to space resources, and for other purposes.",False,False,116,Space Resources Institute Act,"Science, Technology, Communications",hr
hr1030-116,2019-01-06 00:02:00,"To amend title 38, United States Code, to amend the definition of the term ""spouse"" to recognize new State definitions of such term for the purpose of the laws administered by the Secretary of Veterans Affairs, and for other purposes.",False,False,116,Veteran Spouses Equal Treatment Act,Armed Forces and National Security,hr
hr1031-116,2019-01-06 00:02:00,"To take certain land located in San Diego County, California, into trust for the benefit of the Pala Band of Mission Indians, and for other purposes.",False,False,116,Pala Band of Mission Indians Land Transfer Act of 2019,Native Americans,hr
hr1032-116,2019-01-07 00:02:00,To provide for the retention and service of transgender individuals in the Armed Forces.,False,False,116,To provide for the retention and service of transgender individuals in the Armed Forces.,Armed Forces and National Security,hr
hr1033-116,2019-01-07 00:02:00,"To amend the Arms Export Control Act to modify certification and report requirements relating to sales of major defense equipment with respect to which nonrecurring costs of research, development, and production are waived or reduced under the Arms Export Control Act, and for other purposes.",False,False,116,REPAY Act,International Affairs,hr
hr1034-116,2019-01-07 00:02:00,"To amend title XVIII of the Social Security Act to require pharmacy-negotiated price concessions to be included in negotiated prices at the point-of-sale under part D of the Medicare program, and for other purposes.",False,False,116,Phair Pricing Act of 2019,Health,hr
hr1035-116,2019-01-07 00:02:00,"To amend title XVIII of the Social Security Act to provide for pharmacy benefits manager standards under the Medicare prescription drug program and Medicare Advantage program to further transparency of payment methodologies to pharmacies, and for other purposes.",False,False,116,Prescription Drug Price Transparency Act,Health,hr
hr1036-116,2019-01-07 00:02:00,"To amend the Truth in Lending Act to clarify the exclusion for seller-financers from the definition of mortgage originator, and for other purposes.",False,False,116,PARITY Act of 2019,Finance and Financial Sector,hr
hr1037-116,2019-01-07 00:02:00,"To increase transparency with respect to financial services benefitting state sponsors of terrorism, human rights abusers, and corrupt officials, and for other purposes.",True,False,116,Banking Transparency for Sanctioned Persons Act of 2019,Finance and Financial Sector,hr
hr1038-116,2019-01-07 00:02:00,"To require the Treasury to take a more prominent role in coordinating AML/CFT policy and examinations across the Government, and for other purposes.",False,False,116,"To require the Treasury to take a more prominent role in coordinating AML/CFT policy and examinations across the Government, and for other purposes.",Finance and Financial Sector,hr
hr1039-116,2019-01-07 00:02:00,"To streamline requirements for currency transaction reports and suspicious activity reports, and for other purposes.",False,False,116,"To streamline requirements for currency transaction reports and suspicious activity reports, and for other purposes.",Finance and Financial Sector,hr
hr1040-116,2019-01-07 00:02:00,To amend the Internal Revenue Code of 1986 to provide taxpayers a flat tax alternative to the current income tax system.,False,False,116,Flat Tax Act,Taxation,hr
hr1041-116,2019-01-07 00:02:00,To amend title XVIII of the Social Security Act to remove the 96-hour physician certification requirement for inpatient critical access hospital services.,False,False,116,Critical Access Hospital Relief Act of 2019,Health,hr
hr1042-116,2019-01-07 00:02:00,To amend the Animal Welfare Act to require that covered persons develop and implement emergency contingency plans.,False,False,116,PREPARED Act,Animals,hr
hr1043-116,2019-01-07 00:02:00,To amend the Internal Revenue Code of 1986 to extend the exclusion for employer-provided educational assistance to employer payments of qualified education loans.,False,False,116,Employer Participation in Repayment Act of 2019,Taxation,hr
hr1044-116,2019-01-07 00:02:00,"To amend the Immigration and Nationality Act to eliminate the per-country numerical limitation for employment-based immigrants, to increase the per-country numerical limitation for family-sponsored immigrants, and for other purposes.",True,False,116,Fairness for High-Skilled Immigrants Act of 2019,Immigration,hr
hr1045-116,2019-01-07 00:02:00,"To provide for improvements in the treatment of detainees, and for other purposes.",False,False,116,Immigrant Detainee Legal Rights Act,Immigration,hr
hr1046-116,2019-01-07 00:02:00,To amend title XVIII of the Social Security Act to require the Secretary of Health and Human Services to negotiate prices of prescription drugs furnished under part D of the Medicare program.,False,False,116,Medicare Negotiation and Competitive Licensing Act of 2019,Health,hr
hr1047-116,2019-01-07 00:02:00,"To give effect to more accurate maps of units of the John H. Chafee Coastal Barrier Resources System that were produced by digital mapping of such units, and for other purposes.",False,False,116,"To give effect to more accurate maps of units of the John H. Chafee Coastal Barrier Resources System that were produced by digital mapping of such units, and for other purposes.",Public Lands and Natural Resources,hr
hr1048-116,2019-01-07 00:02:00,"To authorize phase III of the Yakima River Basin Water Enhancement Project, and for other purposes.",False,False,116,Yakima River Basin Water Enhancement Project Phase III Act,Water Resources Development,hr
hr1049-116,2019-01-07 00:02:00,"To authorize a National Heritage Area Program, and for other purposes.",False,False,116,National Heritage Area Act of 2019,Public Lands and Natural Resources,hr
hr1050-116,2019-01-07 00:02:00,"To provide for the administration of certain national monuments, to establish a National Monument Enhancement Fund, and to establish certain wilderness areas in the States of New Mexico and Nevada.",False,False,116,ANTIQUITIES Act,Public Lands and Natural Resources,hr
hr1051-116,2019-01-07 00:02:00,"To amend section 1341 of title 31, United States Code, to require payment of interest on back pay for employees affected by a lapse in appropriations.",False,False,116,Back Pay Fairness Act of 2019,Government Operations and Politics,hr
hr1052-116,2019-01-07 00:02:00,To amend title XVIII of the Social Security Act to provide for direct payment to physician assistants under the Medicare program for certain services furnished by such physician assistants.,False,False,116,To amend title XVIII of the Social Security Act to provide for direct payment to physician assistants under the Medicare program for certain services furnished by such physician assistants.,Health,hr
hr1053-116,2019-01-07 00:02:00,"To amend the Securities Exchange Act of 1934 to direct the Securities and Exchange Commission to issue regulations to require public corporations to disclose political expenditures, and for other purposes.",False,False,116,Corporate Political Disclosure Act of 2019,Finance and Financial Sector,hr
hr1054-116,2019-01-07 00:02:00,"To strengthen the capacity and competitiveness of historically Black colleges and universities through robust public-sector, private-sector, and community partnerships and engagement, and for other purposes.",False,False,116,HBCU PARTNERS Act,Education,hr
hr1055-116,2019-01-07 00:02:00,To prohibit the application of certain restrictive eligibility requirements to foreign nongovernmental organizations with respect to the provision of assistance under part I of the Foreign Assistance Act of 1961.,False,False,116,"Global Health, Empowerment and Rights Act",International Affairs,hr
hr1056-116,2019-01-07 00:02:00,To designate the Frank and Jeanne Moore Wild Steelhead Special Management Area in the State of Oregon.,False,False,116,Frank and Jeanne Moore Wild Steelhead Special Management Area Designation Act,Public Lands and Natural Resources,hr
hr1057-116,2019-01-07 00:02:00,"To amend title 28, United States Code, to provide for a code of conduct for justices and judges of the courts of the United States.",False,False,116,Supreme Court Ethics Act,Law,hr
hr1058-116,2019-01-07 00:02:00,"To reauthorize certain provisions of the Public Health Service Act relating to autism, and for other purposes.",True,True,116,"Autism Collaboration, Accountability, Research, Education, and Support Act of 2019",Health,hr
hr1059-116,2019-01-07 00:02:00,"To ensure timely completion of the concurrent resolution on the budget and regular appropriation bills, and for other purposes.",False,False,116,"No Budget, No Recess Act",Congress,hr
hr1060-116,2019-01-07 00:02:00,"To provide regulatory relief to charitable organizations that provide housing assistance, and for other purposes.",True,False,116,BUILD Act,Finance and Financial Sector,hr
