_action_text,_bill,_date,_id,_time,_type
Third cloture on the motion to proceed not invoked in Senate by Yea-Nay Vote. 50 - 43. Record Vote Number: 3. (CR S174),s1-116,2019-01-14,31,,Floor
Motion to proceed to consideration of measure made in Senate. (CR S187),s1-116,2019-01-15,32,,Floor
Motion to proceed to consideration of measure made in Senate.,s1-116,2019-01-15,33,,Floor
Motion to proceed to measure considered in Senate.,s1-116,2019-01-18,34,,Floor
Motion to proceed to measure considered in Senate. (consideration: CR S299-301),s1-116,2019-01-18,35,,Floor
Motion to proceed to measure considered in Senate. (CR S299),s1-116,2019-01-18,36,,Floor
Motion to proceed to measure considered in Senate.,s1-116,2019-01-19,37,,Floor
Motion to proceed to measure considered in Senate. (CR S307),s1-116,2019-01-19,38,,Floor
Motion to proceed to measure considered in Senate. (CR S326),s1-116,2019-01-22,39,,Floor
Motion to proceed to measure considered in Senate.,s1-116,2019-01-22,40,,Floor
Motion to proceed to measure considered in Senate. (CR S483),s1-116,2019-01-23,41,,Floor
Motion to proceed to measure considered in Senate.,s1-116,2019-01-23,42,,Floor
Motion to proceed to consideration of measure made in Senate. (CR S541),s1-116,2019-01-24,43,,Floor
Motion to proceed to consideration of measure made in Senate. (CR S549),s1-116,2019-01-24,44,,Floor
Motion to proceed to consideration of measure withdrawn in Senate.,s1-116,2019-01-24,45,,Floor
Motion to proceed to consideration of measure made in Senate.,s1-116,2019-01-24,46,,Floor
Motion to proceed to consideration of measure made in Senate. (CR S541-548),s1-116,2019-01-24,47,,Floor
Motion to proceed to consideration of measure made in Senate. (CR S549-557),s1-116,2019-01-24,48,,Floor
Motion to proceed to measure considered in Senate. (CR S667),s1-116,2019-01-25,49,,Floor
Motion to proceed to measure considered in Senate. (CR S688),s1-116,2019-01-28,50,,Floor
Motion to proceed to consideration of the motion to reconsider the vote by which cloture on the motion to proceed to S. 1 was not invoked (Record Vote No. 1) agreed to in Senate by Unanimous Consent. (CR S693),s1-116,2019-01-28,51,,Floor
Motion to proceed to measure considered in Senate.,s1-116,2019-01-28,52,,Floor
Motion to proceed to consideration of the motion to reconsider the vote by which cloture on the motion to proceed to S. 1 was not invoked (Record Vote No. 1) agreed to in Senate by Unanimous Consent.,s1-116,2019-01-28,53,,Floor
Motion by Senator McConnell to reconsider the vote by which cloture on the motion to proceed to S. 1 was not invoked (Record Vote No. 1) agreed to in Senate by Unanimous Consent.,s1-116,2019-01-28,54,,Floor
"Upon reconsideration, cloture on the motion to proceed to S. 1 invoked in Senate by Yea-Nay Vote. 74 - 19. Record Vote Number: 11.",s1-116,2019-01-28,55,,Floor
Third cloture motion on the motion to proceed rendered moot in Senate.,s1-116,2019-01-28,56,,Floor
Motion by Senator McConnell to reconsider the vote by which the third cloture on the motion to proceed to S. 1 was not invoked (Record Vote No. 3) rendered moot in Senate.,s1-116,2019-01-28,57,,Floor
"Upon reconsideration, cloture on the motion to proceed to S. 1 invoked in Senate by Yea-Nay Vote. 74 - 19. Record Vote Number: 11. (CR S693)",s1-116,2019-01-28,58,,Floor
Motion to proceed to measure considered in Senate.,s1-116,2019-01-29,59,,Floor
Motion to proceed to consideration of measure agreed to in Senate by Yea-Nay Vote. 76 - 22. Record Vote Number: 12.,s1-116,2019-01-29,60,,Floor
Measure laid before Senate by motion.,s1-116,2019-01-29,61,,Floor
Motion to proceed to measure considered in Senate. (CR S725),s1-116,2019-01-29,62,,Floor
Measure laid before Senate by motion. (consideration: CR S725-736),s1-116,2019-01-29,63,,Floor
Considered by Senate. (consideration: CR S755-763),s1-116,2019-01-30,64,,Floor
Considered by Senate. (consideration CR S755-763),s1-116,2019-01-30,65,,Floor
Considered by Senate. (consideration: CR S776-777),s1-116,2019-01-31,66,,Floor
Cloture motion on the measure presented in Senate. (CR S776),s1-116,2019-01-31,67,,Floor
Considered by Senate.,s1-116,2019-01-31,68,,Floor
Cloture motion on the measure presented in Senate.,s1-116,2019-01-31,69,,Floor
"Considered by Senate. (consideration: CR S819-822, S826-830, S839)",s1-116,2019-02-04,70,,Floor
Cloture on the measure invoked in Senate by Yea-Nay Vote. 72 - 24. Record Vote Number: 15. (CR S829),s1-116,2019-02-04,71,,Floor
Considered by Senate.,s1-116,2019-02-04,72,,Floor
Cloture on the measure invoked in Senate by Yea-Nay Vote. 72 - 24. Record Vote Number: 15.,s1-116,2019-02-04,73,,Floor
"Considered by Senate. (consideration: CR S843, S846-857; text: CR S852-857)",s1-116,2019-02-05,74,,Floor
Considered by Senate.,s1-116,2019-02-05,75,,Floor
Passed Senate with amendments by Yea-Nay Vote. 77 - 23. Record Vote Number: 16.,s1-116,2019-02-05,76,,Floor
Message on Senate action sent to the House.,s1-116,2019-02-06,77,,Floor
Received in the House.,s1-116,2019-02-06,78,,Floor
Held at the desk.,s1-116,2019-02-06,79,,Floor
Read twice and referred to the Committee on Finance.,s2-116,2019-01-03,1,,IntroReferral
Committee on Small Business and Entrepreneurship. Hearings held.,s2-116,2019-02-27,2,,Committee
Read twice and referred to the Committee on Finance.,s3-116,2019-01-03,1,,IntroReferral
Read twice and referred to the Committee on Finance.,s4-116,2019-01-03,1,,IntroReferral
Read twice and referred to the Committee on Finance.,s5-116,2019-01-03,1,,IntroReferral
Read twice and referred to the Committee on Finance.,s6-116,2019-01-03,1,,IntroReferral
Read twice and referred to the Committee on the Judiciary.,s7-116,2019-01-03,1,,IntroReferral
"Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",s8-116,2019-01-03,1,,IntroReferral
"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",s9-116,2019-01-03,1,,IntroReferral
"Read twice and referred to the Committee on Commerce, Science, and Transportation.",s10-116,2019-01-03,1,,IntroReferral
"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",s11-116,2019-01-03,1,,IntroReferral
Read twice and referred to the Committee on Finance.,s12-116,2019-01-03,1,,IntroReferral
Read twice and referred to the Committee on Energy and Natural Resources.,s13-116,2019-01-03,1,,IntroReferral
Read twice and referred to the Committee on the Judiciary.,s14-116,2019-01-03,1,,IntroReferral
"Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",s15-116,2019-01-03,1,,IntroReferral
Read twice and referred to the Committee on Finance.,s16-116,2019-01-03,1,,IntroReferral
"Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",s17-116,2019-01-03,1,,IntroReferral
Read twice and referred to the Committee on Finance.,s18-116,2019-01-03,1,,IntroReferral
Read twice and referred to the Committee on Finance.,s19-116,2019-01-03,1,,IntroReferral
Read twice and referred to the Committee on Rules and Administration.,s20-116,2019-01-03,1,,IntroReferral
Introduced in the Senate. Read the first time. Placed on Senate Legislative Calendar under Read the First Time.,s21-116,2019-01-03,1,,Calendars
Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 2. (text of measure as introduced: CR S27),s21-116,2019-01-04,2,,Calendars
Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 2.,s21-116,2019-01-04,3,,Calendars
Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 2. (text: CR S27),s21-116,2019-01-04,4,,Calendars
Read twice and referred to the Committee on Finance.,s22-116,2019-01-03,1,,IntroReferral
Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,s23-116,2019-01-03,1,,IntroReferral
Introduced in the Senate. Read the first time. Placed on Senate Legislative Calendar under Read the First Time.,s24-116,2019-01-03,1,,Calendars
Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 3.,s24-116,2019-01-04,2,,Calendars
Passed Senate without amendment by Voice Vote. (consideration: CR S133-S134; text: CR S133-134),s24-116,2019-01-10,3,,Floor
Passed Senate without amendment by Voice Vote.,s24-116,2019-01-10,4,,Floor
Received in the House.,s24-116,2019-01-10,5,,Floor
Message on Senate action sent to the House.,s24-116,2019-01-10,6,,Floor
Held at the desk.,s24-116,2019-01-10,7,,Floor
Passed Senate without amendment by Voice Vote. (consideration: CR S133-134; text: CR S133-134),s24-116,2019-01-10,8,,Floor
Mr. Cummings moved to suspend the rules and pass the bill.,s24-116,2019-01-11,9,,Floor
Considered under suspension of the rules.,s24-116,2019-01-11,10,,Floor
DEBATE - The House proceeded with forty minutes of debate on S. 24.,s24-116,2019-01-11,11,,Floor
"At the conclusion of debate, the Yeas and Nays were demanded and ordered. Pursuant to the provisions of clause 8, rule XX, the Chair announced that further proceedings on the motion would be postponed.",s24-116,2019-01-11,12,,Floor
Considered as unfinished business.,s24-116,2019-01-11,13,,Floor
On motion to suspend the rules and pass the bill Agreed to by the Yeas and Nays: (2/3 required): 411 - 7 (Roll no. 28).,s24-116,2019-01-11,14,,Floor
Motion to reconsider laid on the table Agreed to without objection.,s24-116,2019-01-11,15,,Floor
Considered under suspension of the rules. (consideration: CR H498-502),s24-116,2019-01-11,16,,Floor
Considered as unfinished business. (consideration: CR H503-504),s24-116,2019-01-11,17,,Floor
On motion to suspend the rules and pass the bill Agreed to by the Yeas and Nays: (2/3 required): 411 - 7 (Roll no. 28). (text: CR H498),s24-116,2019-01-11,18,,Floor
Presented to President.,s24-116,2019-01-14,19,,Floor
Signed by President.,s24-116,2019-01-16,20,,President
Became Public Law No: 116-1.,s24-116,2019-01-16,21,,President
Read twice and referred to the Committee on the Judiciary.,s25-116,2019-01-03,1,,IntroReferral
Read twice and referred to the Committee on Rules and Administration.,s26-116,2019-01-03,1,,IntroReferral
Read twice and referred to the Committee on Finance.,s27-116,2019-01-03,1,,IntroReferral
Introduced in the Senate. Read the first time. Placed on Senate Legislative Calendar under Read the First Time.,s28-116,2019-01-04,1,,Calendars
Introduced in the Senate. Read the first time. Placed on Senate Legislative Calendar under Read the First Time. (text of measure as introduced: CR S27),s28-116,2019-01-04,2,,Calendars
Introduced in the Senate. Read the first time. Placed on Senate Legislative Calendar under Read the First Time. (text: CR S27),s28-116,2019-01-04,3,,Calendars
Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 4.,s28-116,2019-01-08,4,,Calendars
Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,s29-116,2019-01-04,1,,IntroReferral
Read twice and referred to the Committee on Armed Services.,s30-116,2019-01-08,1,,IntroReferral
Read twice and referred to the Committee on Energy and Natural Resources.,s31-116,2019-01-08,1,,IntroReferral
Read twice and referred to the Committee on Energy and Natural Resources.,s32-116,2019-01-08,1,,IntroReferral
Read twice and referred to the Committee on Energy and Natural Resources.,s33-116,2019-01-08,1,,IntroReferral
Read twice and referred to the Committee on Finance.,s34-116,2019-01-08,1,,IntroReferral
Read twice and referred to the Committee on Energy and Natural Resources.,s35-116,2019-01-08,1,,IntroReferral
Read twice and referred to the Committee on Energy and Natural Resources.,s36-116,2019-01-08,1,,IntroReferral
Read twice and referred to the Committee on Energy and Natural Resources.,s37-116,2019-01-08,1,,IntroReferral
Read twice and referred to the Committee on Energy and Natural Resources.,s38-116,2019-01-08,1,,IntroReferral
Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,s39-116,2019-01-08,1,,IntroReferral
Read twice and referred to the Committee on Energy and Natural Resources.,s40-116,2019-01-08,1,,IntroReferral
Read twice and referred to the Committee on Energy and Natural Resources.,s41-116,2019-01-08,1,,IntroReferral
Read twice and referred to the Committee on the Judiciary.,s42-116,2019-01-08,1,,IntroReferral
"Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry.",s43-116,2019-01-08,1,,IntroReferral
Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,s44-116,2019-01-08,1,,IntroReferral
Read twice and referred to the Committee on Energy and Natural Resources.,s45-116,2019-01-08,1,,IntroReferral
Read twice and referred to the Committee on Energy and Natural Resources. (Sponsor introductory remarks on measure: CR S69-70),s45-116,2019-01-08,2,,IntroReferral
Read twice and referred to the Committee on Indian Affairs.,s46-116,2019-01-08,1,,IntroReferral
Committee on Indian Affairs. Ordered to be reported without amendment favorably.,s46-116,2019-01-29,2,,Committee
Committee on Indian Affairs. Reported by Senator Hoeven without amendment. With written report No. 116-6.,s46-116,2019-03-13,3,,Committee
Placed on Senate Legislative Calendar under General Orders. Calendar No. 37.,s46-116,2019-03-13,4,,Calendars
Passed Senate without amendment by Voice Vote. (consideration: CR S4652-4664; text: CR S4664),s46-116,2019-06-27,5,,Floor
Message on Senate action sent to the House.,s46-116,2019-06-28,6,,Floor
Received in the House.,s46-116,2019-06-28,7,,Floor
Referred to the House Committee on Natural Resources.,s46-116,2019-06-28,8,,IntroReferral
Referred to the Subcommittee for Indigenous Peoples of the United States.,s46-116,2019-07-03,9,,Committee
Introduced in the Senate. Read the first time. Placed on Senate Legislative Calendar under Read the First Time.,s47-116,2019-01-08,1,,Calendars
Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 7.,s47-116,2019-01-09,2,,Calendars
Motion to proceed to consideration of measure made in Senate. (consideration: CR S777),s47-116,2019-01-31,3,,Floor
Cloture motion on the motion to proceed to the consideration of measure presented in Senate. (CR S777),s47-116,2019-01-31,4,,Floor
Motion to proceed to consideration of measure made in Senate.,s47-116,2019-01-31,5,,Floor
Cloture motion on the motion to proceed to the consideration of measure presented in Senate.,s47-116,2019-01-31,6,,Floor
Motion to proceed to measure considered in Senate. (CR S858),s47-116,2019-02-05,7,,Floor
Cloture on the motion to proceed to the measure invoked in Senate by Yea-Nay Vote. 99 - 1. Record Vote Number: 17. (CR S858),s47-116,2019-02-05,8,,Floor
Motion to proceed to measure considered in Senate. (consideration: CR S858),s47-116,2019-02-05,9,,Floor
Cloture on the motion to proceed to the measure invoked in Senate by Yea-Nay Vote. 99 - 1. Record Vote Number: 17.,s47-116,2019-02-05,10,,Floor
Motion to proceed to measure considered in Senate.,s47-116,2019-02-05,11,,Floor
Motion to proceed to measure considered in Senate.,s47-116,2019-02-06,12,,Floor
"Motion to proceed to measure considered in Senate. (consideration: CR S876, S881-882, S885-886, S896-903)",s47-116,2019-02-06,13,,Floor
Motion to proceed to measure considered in Senate. (CR S876),s47-116,2019-02-06,14,,Floor
Motion to proceed to measure considered in Senate. (CR S1031),s47-116,2019-02-07,15,,Floor
Measure laid before Senate by motion. (consideration: CR S1031-1109),s47-116,2019-02-07,16,,Floor
Cloture motion on the measure presented in Senate. (CR S1117),s47-116,2019-02-07,17,,Floor
Motion to proceed to measure considered in Senate.,s47-116,2019-02-07,18,,Floor
Motion to proceed to consideration of measure agreed to in Senate by Voice Vote.,s47-116,2019-02-07,19,,Floor
Measure laid before Senate by motion.,s47-116,2019-02-07,20,,Floor
Cloture motion on the measure presented in Senate.,s47-116,2019-02-07,21,,Floor
Considered by Senate.,s47-116,2019-02-11,22,,Floor
Cloture on the measure invoked in Senate by Yea-Nay Vote. 87 - 7. Record Vote Number: 21.,s47-116,2019-02-11,23,,Floor
Considered by Senate. (consideration: CR S1152-1162),s47-116,2019-02-11,24,,Floor
Cloture on the measure invoked in Senate by Yea-Nay Vote. 87 - 7. Record Vote Number: 21. (CR S1161),s47-116,2019-02-11,25,,Floor
"Considered by Senate. (consideration: CR S1178-1186, S1193-1265)",s47-116,2019-02-12,26,,Floor
Passed Senate with an amendment by Yea-Nay Vote. 92 - 8. Record Vote Number: 22. (text: CR S1196-1265),s47-116,2019-02-12,27,,Floor
Considered by Senate.,s47-116,2019-02-12,28,,Floor
Passed Senate with an amendment by Yea-Nay Vote. 92 - 8. Record Vote Number: 22.,s47-116,2019-02-12,29,,Floor
"Considered by Senate. (consideration: CR S1178-1186, S1193-1265; text: CR S1196-1265)",s47-116,2019-02-12,30,,Floor
Message on Senate action sent to the House.,s47-116,2019-02-13,31,,Floor
Received in the House.,s47-116,2019-02-13,32,,Floor
Held at the desk.,s47-116,2019-02-13,33,,Floor
Mr. Grijalva moved to suspend the rules and pass the bill.,s47-116,2019-02-26,34,,Floor
ORDER OF BUSINESS - Mr. Grijalva asked unanimous consent that debate under 1(c) of Rule XV on a motion to suspend the rules relating to S. 47 be extended to 50 minutes. Agreed to without objection.,s47-116,2019-02-26,35,,Floor
Considered under suspension of the rules.,s47-116,2019-02-26,36,,Floor
"DEBATE - Pursuant to the order of the House of today, the House proceeded with fifty minutes of debate on S. 47.",s47-116,2019-02-26,37,,Floor
"At the conclusion of debate, the Yeas and Nays were demanded and ordered. Pursuant to the provisions of clause 8, rule XX, the Chair announced that further proceedings on the motion would be postponed.",s47-116,2019-02-26,38,,Floor
Considered as unfinished business.,s47-116,2019-02-26,39,,Floor
On motion to suspend the rules and pass the bill Agreed to by the Yeas and Nays: (2/3 required): 363 - 62 (Roll no. 95).,s47-116,2019-02-26,40,,Floor
Motion to reconsider laid on the table Agreed to without objection.,s47-116,2019-02-26,41,,Floor
Considered under suspension of the rules. (consideration: CR H2141-2217),s47-116,2019-02-26,42,,Floor
Considered as unfinished business. (consideration: CR H2218-2219),s47-116,2019-02-26,43,,Floor
On motion to suspend the rules and pass the bill Agreed to by the Yeas and Nays: (2/3 required): 363 - 62 (Roll no. 95). (text: CR H2142-2211),s47-116,2019-02-26,44,,Floor
"Pursuant to the provisions of H. Con. Res. 21, enrollment corrections on S. 47 have been made.",s47-116,2019-02-26,45,,Floor
Presented to President.,s47-116,2019-03-06,46,,Floor
Signed by President.,s47-116,2019-03-12,47,,President
Became Public Law No: 116-9.,s47-116,2019-03-12,48,,President
Read twice and referred to the Committee on Energy and Natural Resources.,s48-116,2019-01-08,1,,IntroReferral
Read twice and referred to the Committee on Veterans' Affairs.,s49-116,2019-01-08,1,,IntroReferral
Senate Committee on Veterans' Affairs discharged by Unanimous Consent.,s49-116,2019-02-05,2,,Discharge
Passed Senate without amendment by Unanimous Consent.,s49-116,2019-02-05,3,,Floor
Message on Senate action sent to the House.,s49-116,2019-02-05,4,,Floor
Senate Committee on Veterans' Affairs discharged by Unanimous Consent. (consideration: CR S847-848),s49-116,2019-02-05,5,,Discharge
Passed Senate without amendment by Unanimous Consent. (text: CR S847-848),s49-116,2019-02-05,6,,Floor
Received in the House.,s49-116,2019-02-06,7,,Floor
Referred to the House Committee on Veterans' Affairs.,s49-116,2019-02-06,8,,IntroReferral
Referred to the Subcommittee on Health.,s49-116,2019-02-08,9,,Committee
Considered under suspension of the rules. (consideration: CR H2337-2340),s49-116,2019-03-05,10,,Floor
Considered as unfinished business. (consideration: CR H2341),s49-116,2019-03-05,11,,Floor
On motion to suspend the rules and pass the bill Agreed to by the Yeas and Nays: (2/3 required): 417 - 0 (Roll no. 105). (text: CR H2337-2338),s49-116,2019-03-05,12,,Floor
Mr. Takano moved to suspend the rules and pass the bill.,s49-116,2019-03-05,13,,Floor
Considered under suspension of the rules.,s49-116,2019-03-05,14,,Floor
DEBATE - The House proceeded with forty minutes of debate on S. 49.,s49-116,2019-03-05,15,,Floor
"At the conclusion of debate, the Yeas and Nays were demanded and ordered. Pursuant to the provisions of clause 8, rule XX, the Chair announced that further proceedings on the motion would be postponed.",s49-116,2019-03-05,16,,Floor
Considered as unfinished business.,s49-116,2019-03-05,17,,Floor
On motion to suspend the rules and pass the bill Agreed to by the Yeas and Nays: (2/3 required): 417 - 0 (Roll no. 105).,s49-116,2019-03-05,18,,Floor
Motion to reconsider laid on the table Agreed to without objection.,s49-116,2019-03-05,19,,Floor
Presented to President.,s49-116,2019-03-11,20,,Floor
Signed by President.,s49-116,2019-03-21,21,,President
Became Public Law No: 116-10.,s49-116,2019-03-21,22,,President
Read twice and referred to the Committee on Indian Affairs.,s50-116,2019-01-08,1,,IntroReferral
Committee on Indian Affairs. Ordered to be reported without amendment favorably.,s50-116,2019-01-29,2,,Committee
Committee on Indian Affairs. Reported by Senator Hoeven without amendment. With written report No. 116-7.,s50-116,2019-03-13,3,,Committee
Placed on Senate Legislative Calendar under General Orders. Calendar No. 38.,s50-116,2019-03-13,4,,Calendars
Measure laid before Senate by unanimous consent. (consideration: CR S4649),s50-116,2019-06-27,5,,Floor
Passed Senate with an amendment by Voice Vote. (text: CR S4649),s50-116,2019-06-27,6,,Floor
Measure laid before Senate by unanimous consent. (consideration: CR S4649; text: CR S4649),s50-116,2019-06-27,7,,Floor
Passed Senate with an amendment by Voice Vote.,s50-116,2019-06-27,8,,Floor
Message on Senate action sent to the House.,s50-116,2019-06-28,9,,Floor
Received in the House.,s50-116,2019-06-28,10,,Floor
Held at the desk.,s50-116,2019-06-28,11,,Floor
Read twice and referred to the Committee on Indian Affairs.,s51-116,2019-01-08,1,,IntroReferral
Committee on Indian Affairs. Ordered to be reported without amendment favorably.,s51-116,2019-01-29,2,,Committee
Read twice and referred to the Committee on Foreign Relations.,s52-116,2019-01-08,1,,IntroReferral
Read twice and referred to the Committee on Finance.,s53-116,2019-01-08,1,,IntroReferral
Read twice and referred to the Committee on Energy and Natural Resources.,s54-116,2019-01-08,1,,IntroReferral
Read twice and referred to the Committee on Energy and Natural Resources.,s55-116,2019-01-08,1,,IntroReferral
Read twice and referred to the Committee on Energy and Natural Resources.,s56-116,2019-01-08,1,,IntroReferral
Read twice and referred to the Committee on Energy and Natural Resources.,s57-116,2019-01-08,1,,IntroReferral
Read twice and referred to the Committee on Energy and Natural Resources.,s58-116,2019-01-08,1,,IntroReferral
Read twice and referred to the Committee on Energy and Natural Resources.,s59-116,2019-01-08,1,,IntroReferral
Read twice and referred to the Committee on Energy and Natural Resources.,s60-116,2019-01-09,1,,IntroReferral
"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",s61-116,2019-01-09,1,,IntroReferral
Read twice and referred to the Committee on Finance.,s62-116,2019-01-09,1,,IntroReferral
Read twice and referred to the Committee on the Budget.,s63-116,2019-01-09,1,,IntroReferral
Read twice and referred to the Committee on the Judiciary.,s64-116,2019-01-09,1,,IntroReferral
"Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",s65-116,2019-01-09,1,,IntroReferral
Read twice and referred to the Committee on the Judiciary. (Sponsor introductory remarks on measure: CR S103-105),s66-116,2019-01-09,1,,IntroReferral
Read twice and referred to the Committee on the Judiciary.,s66-116,2019-01-09,2,,IntroReferral
Read twice and referred to the Committee on the Judiciary. (Sponsor introductory remarks on measure: CR S103-104),s66-116,2019-01-09,3,,IntroReferral
Read twice and referred to the Committee on Energy and Natural Resources.,s67-116,2019-01-09,1,,IntroReferral
Read twice and referred to the Committee on Energy and Natural Resources. (Sponsor introductory remarks on measure: CR S104-105),s67-116,2019-01-09,2,,IntroReferral
Read twice and referred to the Committee on Finance.,s68-116,2019-01-09,1,,IntroReferral
Read twice and referred to the Committee on the Judiciary.,s69-116,2019-01-09,1,,IntroReferral
Read twice and referred to the Committee on Energy and Natural Resources.,s70-116,2019-01-09,1,,IntroReferral
Read twice and referred to the Committee on the Judiciary.,s71-116,2019-01-09,1,,IntroReferral
Read twice and referred to the Committee on Finance.,s72-116,2019-01-09,1,,IntroReferral
Read twice and referred to the Committee on Finance.,s73-116,2019-01-10,1,,IntroReferral
Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,s74-116,2019-01-10,1,,IntroReferral
Read twice and referred to the Committee on Small Business and Entrepreneurship.,s75-116,2019-01-10,1,,IntroReferral
Read twice and referred to the Committee on Energy and Natural Resources.,s76-116,2019-01-10,1,,IntroReferral
Read twice and referred to the Committee on Small Business and Entrepreneurship.,s77-116,2019-01-10,1,,IntroReferral
Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,s78-116,2019-01-10,1,,IntroReferral
Committee on Small Business and Entrepreneurship. Hearings held.,s78-116,2019-05-22,2,,Committee
Committee on Homeland Security and Governmental Affairs Subcommittee on Regulatory Affairs and Federal Management. Hearings held.,s78-116,2019-05-22,3,,Committee
Read twice and referred to the Committee on Energy and Natural Resources.,s79-116,2019-01-10,1,,IntroReferral
Read twice and referred to the Committee on Finance.,s80-116,2019-01-10,1,,IntroReferral
Read twice and referred to the Committee on Energy and Natural Resources.,s81-116,2019-01-10,1,,IntroReferral
Read twice and referred to the Committee on Energy and Natural Resources.,s82-116,2019-01-10,1,,IntroReferral
Read twice and referred to the Committee on Small Business and Entrepreneurship.,s83-116,2019-01-10,1,,IntroReferral
Committee on Small Business and Entrepreneurship. Hearings held.,s83-116,2019-05-22,2,,Committee
Committee on Homeland Security and Governmental Affairs Subcommittee on Regulatory Affairs and Federal Management. Hearings held.,s83-116,2019-05-22,3,,Committee
Read twice and referred to the Committee on Small Business and Entrepreneurship.,s84-116,2019-01-10,1,,IntroReferral
Committee on Small Business and Entrepreneurship. Hearings held.,s84-116,2019-02-13,2,,Committee
"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",s85-116,2019-01-10,1,,IntroReferral
Read twice and referred to the Committee on Energy and Natural Resources.,s86-116,2019-01-10,1,,IntroReferral
Read twice and referred to the Committee on Energy and Natural Resources.,s87-116,2019-01-10,1,,IntroReferral
