_action_text,_bill,_date,_id,_time,_type
Introduced in the Senate. Read the first time. Placed on Senate Legislative Calendar under Read the First Time.,s1-116,2019-01-03,1,,Calendars
Motion to proceed to consideration of measure made in Senate.,s1-116,2019-01-04,2,,Floor
Cloture motion on the motion to proceed to the consideration of measure presented in Senate.,s1-116,2019-01-04,3,,Floor
Cloture motion on the motion to proceed presented in Senate. (CR S31),s1-116,2019-01-04,4,,Floor
Motion to proceed to consideration of measure made in Senate. (CR S31),s1-116,2019-01-04,5,,Floor
Cloture motion on the motion to proceed to the consideration of measure presented in Senate. (CR S31),s1-116,2019-01-04,6,,Floor
Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 1.,s1-116,2019-01-04,7,,Calendars
Motion to proceed to measure considered in Senate.,s1-116,2019-01-08,8,,Floor
Motion to proceed to measure considered in Senate. (CR S38),s1-116,2019-01-08,9,,Floor
Cloture on the motion to proceed not invoked in Senate by Yea-Nay Vote. 56 - 44. Record Vote Number: 1.,s1-116,2019-01-08,10,,Floor
Motion by Senator McConnell to reconsider the vote by which cloture on the motion to proceed to S. 1 was not invoked (Record Vote No. 1) entered in Senate.,s1-116,2019-01-08,11,,Floor
Cloture motion on the motion to proceed presented in Senate.,s1-116,2019-01-08,12,,Floor
Motion to proceed to measure considered in Senate. (consideration: CR S38),s1-116,2019-01-08,13,,Floor
Cloture on the motion to proceed not invoked in Senate by Yea-Nay Vote. 56 - 44. Record Vote Number: 1. (CR S48),s1-116,2019-01-08,14,,Floor
Second cloture motion on the motion to proceed presented in Senate. (CR S48),s1-116,2019-01-08,15,,Floor
Motion to proceed to measure considered in Senate. (CR S79),s1-116,2019-01-09,16,,Floor
Motion to proceed to measure considered in Senate. (consideration: CR S79),s1-116,2019-01-09,17,,Floor
Motion to proceed to measure considered in Senate. (CR S128),s1-116,2019-01-10,18,,Floor
Second cloture on the motion to proceed not invoked in Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 2. (CR S128),s1-116,2019-01-10,19,,Floor
Third cloture motion on the motion to proceed presented in Senate. (CR S148),s1-116,2019-01-10,20,,Floor
Motion to proceed to measure considered in Senate.,s1-116,2019-01-10,21,,Floor
Second cloture on the motion to proceed not invoked in Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 2.,s1-116,2019-01-10,22,,Floor
Third cloture motion on the motion to proceed presented in Senate.,s1-116,2019-01-10,23,,Floor
Motion to proceed to measure considered in Senate. (CR S115),s1-116,2019-01-10,24,,Floor
Motion to proceed to measure considered in Senate. (consideration: CR S149-159),s1-116,2019-01-11,25,,Floor
Motion to proceed to measure considered in Senate.,s1-116,2019-01-11,26,,Floor
Motion to proceed to consideration of measure made in Senate.,s1-116,2019-01-14,27,,Floor
Third cloture on the motion to proceed not invoked in Senate by Yea-Nay Vote. 50 - 43. Record Vote Number: 3.,s1-116,2019-01-14,28,,Floor
Motion to proceed to consideration of measure made in Senate. (CR S166),s1-116,2019-01-14,29,,Floor
Motion by Senator McConnell to reconsider the vote by which the third cloture on the motion to proceed to S. 1 was not invoked (Record Vote No. 3) entered in Senate.,s1-116,2019-01-14,30,,Floor
