"id","introduced","official_title","passed_house","passed_senate","session","short_title","top_subject","type","bill"
"s139-116","2019-01-16 00:01:00","A bill to designate the bridge located in Blount County, Tennessee, on the Foothills Parkway (commonly known as ""Bridge 2"") as the ""Dean Stone Bridge"".","False","False",116,"A bill to designate the bridge located in Blount County, Tennessee, on the Foothills Parkway (commonly known as ""Bridge 2"") as the ""Dean Stone Bridge"".","Transportation and Public Works","s","s0139-116"
"s140-116","2019-01-16 00:01:00","A bill to require the Secretary of the Interior to study the suitability and feasibility of designating the President James K. Polk Home in Columbia, Tennessee, as a unit of the National Park System, and for other purposes.","False","False",116,"James K. Polk Presidential Home Study Act","Public Lands and Natural Resources","s","s0140-116"
"s142-116","2019-01-16 00:01:00","A bill to impose privacy requirements on providers of internet services similar to the requirements imposed on Federal agencies under the Privacy Act of 1974.","False","False",116,"ADD Act","Commerce","s","s0142-116"
"s144-116","2019-01-16 00:01:00","A bill to designate the mountain at the Devils Tower National Monument, Wyoming, as Devils Tower, and for other purposes.","False","False",116,"A bill to designate the mountain at the Devils Tower National Monument, Wyoming, as Devils Tower, and for other purposes.","Public Lands and Natural Resources","s","s0144-116"
"s145-116","2019-01-16 00:01:00","A bill to expand opportunity through greater choice in education, and for other purposes.","False","False",116,"CHOICE Act","Education","s","s0145-116"
"s146-116","2019-01-16 00:01:00","A bill to amend the Internal Revenue Code of 1986 to provide for Move America bonds and Move America credits.","False","False",116,"Move America Act of 2019","Taxation","s","s0146-116"
"s147-116","2019-01-16 00:01:00","A bill to amend title 31, United States Code, to provide for automatic continuing resolutions.","False","False",116,"Government Shutdown Prevention Act of 2019","Economics and Public Finance","s","s0147-116"
"s148-116","2019-01-16 00:01:00","A bill to require a full audit of the Board of Governors of the Federal Reserve System and the Federal reserve banks by the Comptroller General of the United States, and for other purposes.","False","False",116,"Federal Reserve Transparency Act of 2019","Finance and Financial Sector","s","s0148-116"
"s150-116","2019-01-16 00:01:00","A bill to provide for increases in the Federal minimum wage, and for other purposes.","False","False",116,"Raise the Wage Act","Labor and Employment","s","s0150-116"
"s152-116","2019-01-16 00:01:00","A bill to direct the President to impose penalties pursuant to denial orders with respect to certain Chinese telecommunications companies that are in violation of the export control or sanctions laws of the United States, and for other purposes.","False","False",116,"Telecommunications Denial Order Enforcement Act","Foreign Trade and International Finance","s","s0152-116"
"s154-116","2019-01-16 00:01:00","A bill to amend title 38, United States Code, to improve oversight of contracts for services and financial processes of the Department of Veterans Affairs, and for other purposes.","False","False",116,"VA CLEAR Act of 2019","Armed Forces and National Security","s","s0154-116"
"s155-116","2019-01-16 00:01:00","A bill to improve the financial literacy of secondary school students.","False","False",116,"Youth Financial Learning Act","Education","s","s0155-116"
"s156-116","2019-01-16 00:01:00","A bill to prevent conflicts of interest that stem from executive branch employees receiving bonuses or other compensation arrangements from non-Government sources, from the revolving door that raises concerns about the independence of executive branch employees, and from the revolving door that casts aspersions over the awarding of Government contracts and other financial benefits.","False","False",116,"Executive Branch Conflict of Interest Act","Government Operations and Politics","s","s0156-116"
