"id","introduced","official_title","passed_house","passed_senate","session","short_title","top_subject","type","bill"
"s33-116","2019-01-08 00:01:00","A bill to update the map of, and modify the maximum acreage available for inclusion in, the Florissant Fossil Beds National Monument.","False","False",116,"A bill to update the map of, and modify the maximum acreage available for inclusion in, the Florissant Fossil Beds National Monument.","Public Lands and Natural Resources","s","s0033-116"
"s34-116","2019-01-08 00:01:00","A bill to require a report on the continuing participation of Cambodia in the Generalized System of Preferences.","False","False",116,"Cambodia Trade Act of 2019","Foreign Trade and International Finance","s","s0034-116"
"s35-116","2019-01-08 00:01:00","A bill to authorize the Secretary of the Interior to conduct a special resource study of the site known as ""Amache"" in the State of Colorado.","False","False",116,"Amache Study Act","Public Lands and Natural Resources","s","s0035-116"
"s36-116","2019-01-08 00:01:00","A bill to authorize, direct, expedite, and facilitate a land exchange in El Paso and Teller Counties, Colorado, and for other purposes.","False","False",116,"Crags, Colorado Land Exchange Act","Public Lands and Natural Resources","s","s0036-116"
"s37-116","2019-01-08 00:01:00","A bill to ensure adequate use and access to the existing Bolts Ditch headgate and ditch segment within the Holy Cross Wilderness in Eagle County, Colorado, and for other purposes.","False","False",116,"Bolts Ditch Access and Use Act","Public Lands and Natural Resources","s","s0037-116"
"s38-116","2019-01-08 00:01:00","A bill to maintain annual base funding for the Upper Colorado and San Juan fish recovery programs through fiscal year 2023, to require a report on the implementation of those programs, and for other purposes.","False","False",116,"Endangered Fish Recovery Programs Extension Act of 2019","Public Lands and Natural Resources","s","s0038-116"
"s39-116","2019-01-08 00:01:00","A bill to provide that Members of Congress may not receive pay after October 1 of any fiscal year in which Congress has not approved a concurrent resolution on the budget and passed the regular appropriations bills.","False","False",116,"No Budget, No Pay Act","Congress","s","s0039-116"
"s40-116","2019-01-08 00:01:00","A bill to require the Secretary of the Interior to submit to Congress a report on the efforts of the Bureau of Reclamation to manage its infrastructure assets.","False","False",116,"Bureau of Reclamation Transparency Act","Water Resources Development","s","s0040-116"
"s41-116","2019-01-08 00:01:00","A bill to survey the gradient boundary along the Red River in the States of Oklahoma and Texas, and for other purposes.","False","False",116,"Red River Gradient Boundary Survey Act","Public Lands and Natural Resources","s","s0041-116"
"s42-116","2019-01-08 00:01:00","A bill to require a background check for every firearm sale.","False","False",116,"Background Check Expansion Act","Crime and Law Enforcement","s","s0042-116"
"s43-116","2019-01-08 00:01:00","A bill to require the Secretary of Agriculture to transfer certain National Forest System land in the States of Texas.","False","False",116,"Lake Fannin Recreation Area Conveyance Act","Public Lands and Natural Resources","s","s0043-116"
"s44-116","2019-01-08 00:01:00","A bill to reduce a portion of the annual pay of Members of Congress for the failure to adopt a concurrent resolution on the budget which does not provide for a balanced budget, and for other purposes.","False","False",116,"Balanced Budget Accountability Act","Congress","s","s0044-116"
"s48-116","2019-01-08 00:01:00","A bill to authorize, direct, expedite, and facilitate a land exchange in Yavapai County, Arizona, and for other purposes.","False","False",116,"Cottonwood Land Exchange Act of 2019","Public Lands and Natural Resources","s","s0048-116"
"s52-116","2019-01-08 00:01:00","A bill to halt the wholesale slaughter of the Syrian people, encourage a negotiated political settlement, and hold Syrian human rights abusers accountable for their crimes.","False","False",116,"Caesar Syria Civilian Protection Act of 2019","International Affairs","s","s0052-116"
"s53-116","2019-01-08 00:01:00","A bill to appropriate $25,000,000,000 for the construction of a border wall between the United States and Mexico, and for other purposes.","False","False",116,"WALL Act of 2019","Immigration","s","s0053-116"
"s54-116","2019-01-08 00:01:00","A bill to authorize the Secretary of the Interior to convey certain land to La Paz County, Arizona, and for other purposes.","False","False",116,"La Paz County Land Conveyance Act of 2019","Public Lands and Natural Resources","s","s0054-116"
"s55-116","2019-01-08 00:01:00","A bill to provide for the unencumbering of title to non-Federal land owned by the city of Tucson, Arizona, for purposes of economic development by conveyance of the Federal reversionary interest to the City.","False","False",116,"Udall Park Land Exchange Completion Act","Public Lands and Natural Resources","s","s0055-116"
"s56-116","2019-01-08 00:01:00","A bill to authorize the Secretary of the Interior to annually designate at least one city in the United States as an ""American World War II Heritage City"", and for other purposes.","False","False",116,"A bill to authorize the Secretary of the Interior to annually designate at least one city in the United States as an ""American World War II Heritage City"", and for other purposes.","Armed Forces and National Security","s","s0056-116"
"s57-116","2019-01-08 00:01:00","A bill to amend the National Trails System Act to provide for the study of the Pike National Historic Trail.","False","False",116,"Pike National Historic Trail Study Act","Public Lands and Natural Resources","s","s0057-116"
"s58-116","2019-01-08 00:01:00","A bill to designate certain mountain peaks in the State of Colorado as ""Fowler Peak"" and ""Boskoff Peak"".","False","False",116,"Fowler and Boskoff Peaks Designation Act","Public Lands and Natural Resources","s","s0058-116"
