_id,_introduced,_official_title,_passed_house,_passed_senate,_session,_short_title,_top_subject,_type
hr221-116,2019-01-03 00:01:00,"To amend the State Department Basic Authorities Act of 1956 to monitor and combat anti-Semitism globally, and for other purposes.",True,False,116,Special Envoy to Monitor and Combat Anti-Semitism Act,International Affairs,hr
hr222-116,2019-01-03 00:01:00,To repeal the Federal estate and gift taxes.,False,False,116,Death Tax Repeal Act of 2019,Taxation,hr
hr223-116,2019-01-03 00:01:00,"To amend the Omnibus Crime Control and Safe Streets Act of 1968 to establish grants to reduce the incidence of hate crimes, and for other purposes.",False,False,116,Hate Crime Victim Assistance Act of 2019,Crime and Law Enforcement,hr
hr224-116,2019-01-03 00:01:00,"To amend section 1908 of title 41, United States Code, to exempt certain contracts from the periodic inflation adjustments to an acquisition-related dollar threshold.",False,False,116,"To amend section 1908 of title 41, United States Code, to exempt certain contracts from the periodic inflation adjustments to an acquisition-related dollar threshold.",Government Operations and Politics,hr
hr225-116,2019-01-03 00:01:00,"To provide for small business concerns located in Puerto Rico, and for other purposes.",False,False,116,Puerto Rico Small Business Assistance Act of 2019,Commerce,hr
hr226-116,2019-01-03 00:01:00,"To amend the Small Business Act to include best in class designations in the annual report on small business goals prepared by the Administrator of the Small Business Administration, and for other purposes.",True,False,116,Clarity on Small Business Participation in Category Management Act of 2019,Commerce,hr
hr227-116,2019-01-03 00:01:00,"To amend the Small Business Act to specify what credit is given for certain subcontractors and to provide a dispute process for non-payment to subcontractors, and for other purposes.",True,False,116,Incentivizing Fairness in Subcontracting Act,Commerce,hr
hr228-116,2019-01-03 00:01:00,"To authorize programs and activities to support transportation options in areas that are undergoing extensive repair or reconstruction of transportation infrastructure, and for other purposes.",False,False,116,Increase Transportation Alternatives Investment Act of 2019,Transportation and Public Works,hr
hr229-116,2019-01-03 00:01:00,"To establish a national commission on the Federal response to the 2017 natural disasters in Puerto Rico, and for other purposes.",False,False,116,National Commission on the Federal Response to Natural Disasters in Puerto Rico Act of 2019,Emergency Management,hr
hr230-116,2019-01-03 00:01:00,"To cancel the registration of all uses of the pesticide chlorpyrifos, and for other purposes.",False,False,116,Ban Toxic Pesticides Act of 2019,Environmental Protection,hr
hr231-116,2019-01-03 00:01:00,"To amend the Higher Education Act of 1965 to provide loan deferment and loan cancellation for founders and employees of small business start-ups, and for other purposes.",False,False,116,Supporting America's Young Entrepreneurs Act of 2019,Education,hr
hr232-116,2019-01-03 00:01:00,"To amend the Fair Housing Act, to prohibit discrimination based on use of section 8 vouchers, and for other purposes.",False,False,116,Landlord Accountability Act of 2019,Housing and Community Development,hr
hr233-116,2019-01-03 00:01:00,"To amend title XIX of the Social Security Act to clarify the authority of State Medicaid fraud and abuse control units to investigate and prosecute cases of Medicaid patient abuse and neglect in any setting, and for other purposes.",False,False,116,Medicaid Patient Abuse Prevention Act,Health,hr
hr234-116,2019-01-03 00:01:00,To reform the requirements regarding the safety and security of families living in public and federally assisted housing in high-crime areas.,False,False,116,Liberty City Rising Act,Housing and Community Development,hr
hr235-116,2019-01-03 00:01:00,"To provide for a comfortable and safe temperature level in dwelling units receiving certain Federal housing assistance, and for other purposes.",False,False,116,"To provide for a comfortable and safe temperature level in dwelling units receiving certain Federal housing assistance, and for other purposes.",Housing and Community Development,hr
hr236-116,2019-01-03 00:01:00,"To provide that the salaries of Members of a House of Congress will be held in escrow if that House has not agreed to a concurrent resolution on the budget for fiscal year 2020 by April 15, 2019.",False,False,116,"No Budget, No Pay Act",Economics and Public Finance,hr
hr237-116,2019-01-03 00:01:00,"To direct the Secretary of State to develop a strategy to regain observer status for Taiwan in the World Health Organization, and for other purposes.",False,False,116,"To direct the Secretary of State to develop a strategy to regain observer status for Taiwan in the World Health Organization, and for other purposes.",International Affairs,hr
hr238-116,2019-01-03 00:01:00,"To authorize the President to award the Medal of Honor to James Megellas, formerly of Fond du Lac, Wisconsin, and currently of Colleyville, Texas, for acts of valor on January 28, 1945, during the Battle of the Bulge in World War II.",False,False,116,"To authorize the President to award the Medal of Honor to James Megellas, formerly of Fond du Lac, Wisconsin, and currently of Colleyville, Texas, for acts of valor on January 28, 1945, during the Battle of the Bulge in World War II.",,hr
hr239-116,2019-01-03 00:01:00,For the relief of certain aliens who were aboard the Golden Venture.,False,False,116,For the relief of certain aliens who were aboard the Golden Venture.,,hr
hr240-116,2019-01-04 00:01:00,"To establish the Mill Springs Battlefield National Monument in the State of Kentucky as a unit of the National Park System, and for other purposes.",False,False,116,Mill Springs Battlefield National Monument Act,Public Lands and Natural Resources,hr
hr241-116,2019-01-04 00:01:00,"To amend the Bank Service Company Act to provide improvements with respect to State banking agencies, and for other purposes.",True,False,116,Bank Service Company Examination Coordination Act of 2019,Finance and Financial Sector,hr
hr242-116,2019-01-04 00:01:00,To repeal the Statutory Pay-As-You-Go Act of 2010.,False,False,116,To repeal the Statutory Pay-As-You-Go Act of 2010.,Economics and Public Finance,hr
hr243-116,2019-01-04 00:01:00,"To exempt certain wildfire mitigation activities from certain environmental requirements, and for other purposes.",False,False,116,CARR Act,Environmental Protection,hr
hr244-116,2019-01-04 00:01:00,"To maximize land management efficiencies, promote land conservation, generate education funding, and for other purposes.",False,False,116,Advancing Conservation and Education Act,Public Lands and Natural Resources,hr
hr245-116,2019-01-04 00:01:00,To amend the Mineral Leasing Act and the Energy Policy Act of 1992 to repeal provisions relating only to the Allegheny National Forest.,False,False,116,Cooperative Management of Mineral Rights Act of 2019,Public Lands and Natural Resources,hr
hr246-116,2019-01-04 00:01:00,"To amend the Small Business Act to require senior procurement executives, procurement center representatives, and the Office of Small and Disadvantaged Business Utilization to assist small business concerns participating in the Small Business Innovation Research Program and the Small Business Technology Transfer Program, and for other purposes.",True,False,116,Stimulating Innovation through Procurement Act of 2019,Commerce,hr
hr247-116,2019-01-04 00:01:00,"To amend chapter 36 of title 44, United States Code, to make certain changes relating to electronic Government services, and for other purposes.",True,False,116,Federal CIO Authorization Act of 2019,Government Operations and Politics,hr
hr248-116,2019-01-04 00:01:00,"To provide for a limitation on the number of civilian employees at the Department of Defense, and for other purposes.",False,False,116,REDUCE Act,Armed Forces and National Security,hr
hr249-116,2019-01-04 00:01:00,"To amend the ICCVAM Authorization Act of 2000 to improve reporting about animal testing and alternative test method use by Federal agencies, and for other purposes.",False,False,116,FACT Act,Health,hr
hr250-116,2019-01-04 00:01:00,"To amend the Immigration and Nationality Act to make mandatory and permanent requirements relating to use of an electronic employment eligibility verification system, and for other purposes.",False,False,116,Legal Workforce Act,Immigration,hr
