_active,_id,_introduced,_official_title,_passed_house,_passed_senate,_session,_short_title,_top_subject,_type
False,hr2696-116,2019-01-14 00:05:00,"To provide for the establishment of a pilot program to provide grants to community mental health centers for the placement of social workers with law enforcement agencies, and for other purposes.",False,False,116,Supporting the Health and Safety of Law Enforcement Act of 2019,Crime and Law Enforcement,hr
False,hr2697-116,2019-01-14 00:05:00,"To increase Federal Pell Grants for the children of fallen public safety officers, and for other purposes.",False,False,116,Corporal Ronil Singh and Fallen Heroes Scholarship Act,Education,hr
False,hr2698-116,2019-01-14 00:05:00,"To provide grants to State, local, territorial, and tribal law enforcement agencies to obtain behavioral health crisis response training for law enforcement officers.",False,False,116,Law Enforcement Training for Mental Health Crisis Response Act of 2019,Crime and Law Enforcement,hr
False,hr2699-116,2019-01-14 00:05:00,"To amend the Nuclear Waste Policy Act of 1982, and for other purposes.",False,False,116,Nuclear Waste Policy Amendments Act of 2019,Energy,hr
True,hr2700-116,2019-01-14 00:05:00,"To incentivize low-cost drug options and generic competition, and to provide extensions for community health centers and the National Health Service Corps, and for other purposes.",False,False,116,Lowering Prescription Drug Costs and Extending Community Health Centers and Other Public Health Priorities Act,Health,hr
False,hr2701-116,2019-01-14 00:05:00,"To authorize the Secretary of Health and Human Services to award grants to support the access of marginalized youth to sexual health services, and for other purposes.",False,False,116,Youth Access to Sexual Health Services Act of 2019,Health,hr
False,hr2702-116,2019-01-14 00:05:00,"To amend parts B and E of title IV of the Social Security Act to eliminate barriers to providing child welfare services for children and youth in need, to provide additional resources to implement programmatic changes necessary to meet the requirements of the Family First Prevention Services Act, and for other purposes.",False,False,116,Family First Transition and Support Act of 2019,Social Welfare,hr
False,hr2703-116,2019-01-14 00:05:00,"To amend the Immigration and Nationality Act to clarify the admissibility and deportability of aliens acting in accordance with State and foreign marijuana laws, and for other purposes.",False,False,116,MAPLE Act of 2019,Immigration,hr
False,hr2704-116,2019-01-14 00:05:00,To amend the Internal Revenue Code of 1986 to allow for transfers of the renewable electricity production credit and the energy credit.,False,False,116,Renewable Energy Transferability Act,Taxation,hr
False,hr2705-116,2019-01-14 00:05:00,"To establish a Water Infrastructure Trust Fund, and for other purposes.",False,False,116,Water Infrastructure Trust Fund Act of 2019,Environmental Protection,hr
False,hr2706-116,2019-01-14 00:05:00,"To amend the Richard B. Russell National School Lunch Act to clarify that charitable organization officials may receive food donations from schools under the food donation program, and for other purposes.",False,False,116,Feeding Hungry Students in Schools Act of 2019,Agriculture and Food,hr
False,hr2707-116,2019-01-14 00:05:00,To limit funding for any extension of the New START Treaty or any successor agreement unless the agreement includes the People's Republic of China and covers all strategic and non-strategic nuclear forces of the Russian Federation.,False,False,116,New START Treaty Improvement Act of 2019,International Affairs,hr
True,hr2708-116,2019-01-14 00:05:00,"To prevent a person who has been convicted of a misdemeanor hate crime, or received an enhanced sentence for a misdemeanor because of hate or bias in its commission, from obtaining a firearm.",False,False,116,Disarm Hate Act,Crime and Law Enforcement,hr
False,hr2709-116,2019-01-14 00:05:00,To amend the Omnibus Crime Control and Safe Streets Act of 1968 to clarify the definition of firefighter for the purposes of the Public Safety Officers' Death Benefits Program.,False,False,116,Fire Police Fairness Act,Crime and Law Enforcement,hr
